,group,variable,month,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO NUEVO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTAL 6.1 CONTROL DEL NIÑO MENOR DE 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
INCAHUASI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,10,73,70,80,80,160
INGAVI (HUMAITA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,23,9,23,9,32
INQUISIVI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,3,73,65,81,68,149
IRUPANA (VILLA DE LANZA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,24,12,122,97,146,109,255
IXIAMAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,6,59,51,69,57,126
JESUS DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,12,7,73,75,85,82,167
LA ASUNTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,52,46,291,209,343,255,598
LA GUARDIA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,43,48,651,622,694,670,1364
LA PAZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1312,1169,3716,3400,5028,4569,9597
LAGUNILLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,11,40,40,43,51,94
LAJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,10,145,96,155,106,261
LAS CARRERAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,4,17,22,21,26,47
LICOMA PAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,2,27,24,28,26,54
LLALLAGUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,41,56,297,277,338,333,671
LLICA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,3,19,23,19,26,45
LORETO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,9,18,34,25,43,68
LURIBAY,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,11,8,23,51,34,59,93
MACHACAMARCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,2,27,24,28,26,54
MACHARETI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,1,61,53,66,54,120
MAGDALENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,22,8,96,87,118,95,213
MAIRANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,9,85,100,95,109,204
MALLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,3,11,13,12,16,28
MAPIRI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,14,15,142,119,156,134,290
MECAPACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,15,9,62,49,77,58,135
MINEROS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,28,23,200,191,228,214,442
MIZQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,44,33,264,193,308,226,534
MOCOMOCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,11,11,82,56,93,67,160
MOJINETE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,1,3,4,4,5,9
MOJOCOYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,1,73,30,81,31,112
MONTEAGUDO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,27,21,175,183,202,204,406
MONTERO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,132,124,997,1047,1129,1171,2300
MORO MORO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,3,19,21,22,24,46
MOROCHATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,6,108,70,118,76,194
NACEBE (SANTA ROSA DEL ABUNA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,0,22,16,25,16,41
NAZACARA DE PACAJES,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,2,3,2,3,5
NUEVO MANOA (NUEVA ESPERANZA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,2,17,9,20,11,31
OCURI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,20,19,86,112,106,131,237
OKINAWA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,20,21,104,74,124,95,219
OMEREQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,2,3,70,46,72,49,121
ORURO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1288,1335,2147,2100,3435,3435,6870
PADCAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,12,12,135,101,147,113,260
PADILLA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,11,8,74,68,85,76,161
PAILON,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,13,12,122,126,135,138,273
PALCA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,14,13,140,123,154,136,290
PALOS BLANCOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,40,29,255,219,295,248,543
PAMPA AULLAGAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,0,27,29,30,29,59
PAMPA GRANDE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,2,49,73,55,75,130
PAPEL PAMPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,0,42,40,47,40,87
PASORAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,10,7,10,7,17
PATACAMAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,3,192,160,199,163,362
PAZÑA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,3,56,53,59,56,115
PELECHUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,12,38,39,39,51,90
POCOATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,15,30,176,144,191,174,365
POCONA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,15,8,96,72,111,80,191
POJO (CBBA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,17,10,136,117,153,127,280
POOPO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,5,34,31,37,36,73
PORCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,18,11,105,76,123,87,210
POROMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,14,12,101,88,115,100,215
PORONGO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,14,6,50,33,64,39,103
PORTACHUELO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,138,148,194,230,332,378,710
PORVENIR,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,6,58,46,64,52,116
POSTRER VALLE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,10,5,10,5,15
POTOSI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,434,388,1275,1222,1709,1610,3319
PRESTO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,1,80,66,87,67,154
PUCARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,1,4,9,7,10,17
PUCARANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,26,29,204,205,230,234,464
PUERTO ACOSTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,9,47,56,54,65,119
PUERTO CARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,13,7,84,51,97,58,155
PUERTO GONZALO MORENO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,4,152,94,158,98,256
PUERTO PEREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,6,45,45,51,51,102
PUERTO QUIJARRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,30,26,144,127,174,153,327
PUERTO RICO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,1,67,75,73,76,149
PUERTO SILES,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,0,8,8,9,8,17
PUERTO SUAREZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,13,19,108,113,121,132,253
PUERTO VILLARROEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,139,107,623,520,762,627,1389
PUNA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,11,14,141,108,152,122,274
PUNATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,50,50,289,244,339,294,633
QUIABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,4,5,16,22,20,27,47
QUILLACOLLO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,571,596,970,880,1541,1476,3017
QUIME,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,5,64,50,73,55,128
QUIRUSILLAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,2,11,9,12,11,23
RAVELO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,15,11,90,72,105,83,188
REYES,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,10,103,95,109,105,214
RIBERALTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,136,114,759,828,895,942,1837
ROBORE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,13,5,108,91,121,96,217
RURRENABAQUE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,18,18,124,133,142,151,293
SABAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,6,56,25,62,31,93
SACABA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,171,150,1258,1177,1429,1327,2756
SACABAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,21,6,25,26,46,32,78
SACACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,44,21,131,131,175,152,327
SAIPINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,2,47,41,50,43,93
SALINAS DE GARCI MENDOZA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,7,90,107,96,114,210
SAMAIPATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,11,13,66,73,77,86,163
SAN AGUSTIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,0,7,9,10,9,19
SAN ANDRES,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,16,14,46,49,62,63,125
SAN ANDRES DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,1,12,13,13,14,27
SAN ANTONIO DE ESMORUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,3,15,6,18,9,27
SAN ANTONIO DE LOMERIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,2,50,48,57,50,107
SAN BENITO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,10,89,87,99,97,196
SAN BORJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,69,51,332,338,401,389,790
SAN BUENA VENTURA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,6,6,60,56,66,62,128
SAN CARLOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,29,17,208,165,237,182,419
SAN IGNACIO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,55,53,219,164,274,217,491
SAN IGNACIO DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,61,61,554,557,615,618,1233
SAN JAVIER(BNI),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,9,19,19,28,28,56
SAN JAVIER(STC),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,14,31,109,85,123,116,239
SAN JOAQUIN,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,4,51,31,54,35,89
SAN JOSE DE CHIQUITOS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,11,19,80,73,91,92,183
SAN JUAN DE YAPACANI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,8,58,76,63,84,147
SAN JULIAN,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,45,48,364,334,409,382,791
SAN LORENZO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,2,30,23,35,25,60
SAN LORENZO(TJA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,33,26,215,192,248,218,466
SAN LUCAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,29,22,237,215,266,237,503
SAN MATIAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,15,21,93,94,108,115,223
SAN MIGUEL DE VELASCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,20,21,142,122,162,143,305
SAN PABLO DE LIPEZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,2,16,21,16,23,39
SAN PEDRO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,18,13,85,90,103,103,206
SAN PEDRO DE BUENA VISTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,31,31,212,181,243,212,455
SAN PEDRO DE CURAHUARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,4,33,30,38,34,72
SAN PEDRO DE QUEMES,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,2,3,6,3,8,6,14
SAN PEDRO DE TIQUINA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,3,25,23,28,26,54
SAN PEDRO(PND),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,0,0,8,9,8,9,17
SAN RAFAEL,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,10,48,41,58,51,109
SAN RAMON BENI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,3,31,39,41,42,83
SAN RAMON SCZ,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,12,9,73,81,85,90,175
SANTA ANA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,63,72,102,98,165,170,335
SANTA CRUZ DE LA SIERRA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1975,1746,5227,4788,7202,6534,13736
SANTA ROSA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,1,88,74,96,75,171
SANTA ROSA DEL SARA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,12,10,96,98,108,108,216
SANTIAGO DE CALLAPA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,5,12,11,15,16,31
SANTIAGO DE HUARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,13,13,68,70,81,83,164
SANTIAGO DE HUATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,2,10,29,38,31,48,79
SANTIAGO DE MACHACA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,3,1,27,38,30,39,69
SANTIVAÑES,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,0,71,50,79,50,129
SANTUARIO DE QUILLACAS,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,9,31,38,39,47,86
SAPAHAQUI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,2,70,57,77,59,136
SENA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,17,10,73,74,90,84,174
SHINAOTA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,29,24,153,189,182,213,395
SICA SICA (VILLA AROMA),control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,22,38,147,133,169,171,340
SICAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,2,1,42,34,44,35,79
SIPE SIPE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,72,27,437,218,509,245,754
SOPACHUY,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,9,6,59,55,68,61,129
SORACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,6,80,80,85,86,171
SORATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,14,22,128,119,142,141,283
SUCRE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,326,346,2001,1933,2327,2279,4606
TACACHI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,2,6,10,7,12,19
TACACOMA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,20,10,21,8,41,18,59
TACOBAMBA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,6,82,48,90,54,144
TACOPAYA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,5,9,54,58,59,67,126
TAHUA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,2,2,8,9,10,11,21
TAPACARI,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,18,21,205,167,223,188,411
TARABUCO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,8,8,87,110,95,118,213
TARACO,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,1,2,22,13,23,15,38
TARATA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,26,28,125,139,151,167,318
TARIJA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,632,517,1581,1402,2213,1919,4132
TARVITA,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,10,10,92,83,102,93,195
TEOPONTE,control de crecimiento infantil, control del nino menor de 1 ano,2014-12-01,7,10,152,99,159,109,268
