municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,20,20
CABEZAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,54,54
CALAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,10,10
CAMARGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,145,145
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,67,67
CAMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,181,181
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,31,31
CARACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,199,199
CARANAVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,56,56
CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,6,6
CARAPARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,132,132
CARIPUYO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,84,84
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,4,4
CATACORA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,4,4
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,96,96
CHARAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,56,56
CHAYANTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,48,48
CHIMORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,218,218
CHIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,58,58
CHOQUE COTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,9,9
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,16,16
CHUMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,25,25
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,32,32
CKOCHAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,64,64
CLIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,407,407
COBIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,157,157
COCAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,3,3
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,403,403
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,487,487
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,23,23
COLLANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,6,6
COLOMI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,73,73
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,24,24
COLQUIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,103,103
COMARAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,52,52
COMBAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,121,121
CONCEPCION,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,32,32
COPACABANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,112,112
CORO CORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,41,41
COROICO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,47,47
CORQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,31,31
COTAGAITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,88,88
COTOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,59,59
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,199,199
CULPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,82,82
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,41,41
CURVA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,936,936
EL CHORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,18,18
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,22,22
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,154,154
EL TORNO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,333,333
EL VILLAR,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,42,42
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,204,204
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,38,38
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,180,180
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,5,5
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,256,256
GIA-TIM,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,10,10
GUANAY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,50,50
GUAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,25,25
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,185,185
HUACARAJE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,80,80
HUACARETA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,111,111
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,4,4
HUACHACALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,3,3
HUANUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,76,76
HUARINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,30,30
HUATAJATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,17,17
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,159,159
HUMANATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,20,20
ICHOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,10,10
ICLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,11,11
INCAHUASI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,5,5
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,4,4
INQUISIVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,38,38
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,40,40
IXIAMAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,10,10
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,4,4
LA ASUNTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,24,24
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,58,58
LA PAZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,101,101
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,48,48
LAJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,116,116
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,12,12
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,33,33
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,60,60
LLICA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,6,6
LORETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,25,25
LURIBAY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,44,44
MAGDALENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,43,43
MAIRANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,44,44
MECAPACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,3,3
MINEROS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,114,114
MIZQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,93,93
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,20,20
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,92,92
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-11-01,59,59
