,group,variable,month,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTAL 4.3 REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES
YUNGUYO DE LITORAL,consultas prenatales, repetidas,2014-10-01,1,0,1
ZUDAÑEZ,consultas prenatales, repetidas,2014-10-01,48,7,55
ACACIO,consultas prenatales, repetidas,2014-11-01,20,6,26
ACHACACHI,consultas prenatales, repetidas,2014-11-01,229,7,236
ACHOCALLA,consultas prenatales, repetidas,2014-11-01,68,46,114
AIQUILE,consultas prenatales, repetidas,2014-11-01,234,14,248
ALALAY,consultas prenatales, repetidas,2014-11-01,4,2,6
ALCALA,consultas prenatales, repetidas,2014-11-01,21,1,22
ALTO BENI,consultas prenatales, repetidas,2014-11-01,39,4,43
ANCORAIMES,consultas prenatales, repetidas,2014-11-01,25,2,27
ANDAMARCA,consultas prenatales, repetidas,2014-11-01,20,3,23
ANTEQUERA,consultas prenatales, repetidas,2014-11-01,12,8,20
ANZALDO,consultas prenatales, repetidas,2014-11-01,11,2,13
APOLO,consultas prenatales, repetidas,2014-11-01,68,13,81
ARAMPAMPA,consultas prenatales, repetidas,2014-11-01,11,7,18
ARANI,consultas prenatales, repetidas,2014-11-01,59,1,60
ARBIETO,consultas prenatales, repetidas,2014-11-01,83,12,95
ARQUE,consultas prenatales, repetidas,2014-11-01,55,5,60
ATOCHA,consultas prenatales, repetidas,2014-11-01,64,0,64
AUCAPATA,consultas prenatales, repetidas,2014-11-01,8,4,12
AYATA,consultas prenatales, repetidas,2014-11-01,25,4,29
AYO AYO,consultas prenatales, repetidas,2014-11-01,30,1,31
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales, repetidas,2014-11-01,119,11,130
AZURDUY,consultas prenatales, repetidas,2014-11-01,32,23,55
BATALLAS,consultas prenatales, repetidas,2014-11-01,77,2,79
BAURES,consultas prenatales, repetidas,2014-11-01,32,4,36
BELEN DE ANDAMARCA,consultas prenatales, repetidas,2014-11-01,3,0,3
BELEN DE URMIRI,consultas prenatales, repetidas,2014-11-01,1,6,7
BELLA FLOR,consultas prenatales, repetidas,2014-11-01,21,2,23
BERMEJO,consultas prenatales, repetidas,2014-11-01,194,0,194
BETANZOS,consultas prenatales, repetidas,2014-11-01,139,32,171
BOLIVAR,consultas prenatales, repetidas,2014-11-01,8,6,14
BOLPEBRA,consultas prenatales, repetidas,2014-11-01,6,2,8
BOYUIBE,consultas prenatales, repetidas,2014-11-01,20,1,21
BUENA VISTA,consultas prenatales, repetidas,2014-11-01,32,1,33
CABEZAS,consultas prenatales, repetidas,2014-11-01,150,33,183
CAIROMA,consultas prenatales, repetidas,2014-11-01,34,2,36
"CAIZA ""D""",consultas prenatales, repetidas,2014-11-01,68,4,72
CAJUATA,consultas prenatales, repetidas,2014-11-01,85,2,87
CALACOTO,consultas prenatales, repetidas,2014-11-01,7,9,16
CALAMARCA,consultas prenatales, repetidas,2014-11-01,63,4,67
CAMARGO,consultas prenatales, repetidas,2014-11-01,69,9,78
CAMATAQUI (C. VILLA ABECIA),consultas prenatales, repetidas,2014-11-01,14,3,17
CAMIRI,consultas prenatales, repetidas,2014-11-01,158,7,165
CAPINOTA,consultas prenatales, repetidas,2014-11-01,199,1,200
CAQUIAVIRI,consultas prenatales, repetidas,2014-11-01,45,3,48
CARACOLLO,consultas prenatales, repetidas,2014-11-01,117,3,120
CARANAVI,consultas prenatales, repetidas,2014-11-01,346,7,353
CARAPARI,consultas prenatales, repetidas,2014-11-01,121,8,129
CARIPUYO,consultas prenatales, repetidas,2014-11-01,23,9,32
CATACORA,consultas prenatales, repetidas,2014-11-01,2,0,2
CHACARILLA,consultas prenatales, repetidas,2014-11-01,6,0,6
CHALLAPATA,consultas prenatales, repetidas,2014-11-01,222,22,244
CHAQUI,consultas prenatales, repetidas,2014-11-01,35,5,40
CHARAÑA,consultas prenatales, repetidas,2014-11-01,11,1,12
CHAYANTA,consultas prenatales, repetidas,2014-11-01,42,23,65
CHIMORE,consultas prenatales, repetidas,2014-11-01,109,10,119
CHIPAYA,consultas prenatales, repetidas,2014-11-01,8,0,8
CHOQUE COTA,consultas prenatales, repetidas,2014-11-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales, repetidas,2014-11-01,151,0,151
CHUMA,consultas prenatales, repetidas,2014-11-01,21,5,26
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales, repetidas,2014-11-01,29,4,33
CKOCHAS,consultas prenatales, repetidas,2014-11-01,43,11,54
CLIZA,consultas prenatales, repetidas,2014-11-01,237,0,237
COBIJA,consultas prenatales, repetidas,2014-11-01,571,2,573
COCAPATA,consultas prenatales, repetidas,2014-11-01,33,40,73
COCHABAMBA,consultas prenatales, repetidas,2014-11-01,6189,7,6196
COLCAPIRHUA,consultas prenatales, repetidas,2014-11-01,420,3,423
"COLCHA ""K""",consultas prenatales, repetidas,2014-11-01,52,7,59
COLLANA,consultas prenatales, repetidas,2014-11-01,13,4,17
COLOMI,consultas prenatales, repetidas,2014-11-01,115,1,116
COLPA BELGICA,consultas prenatales, repetidas,2014-11-01,46,0,46
COLQUECHACA,consultas prenatales, repetidas,2014-11-01,140,32,172
COLQUENCHA,consultas prenatales, repetidas,2014-11-01,52,0,52
COLQUIRI,consultas prenatales, repetidas,2014-11-01,44,12,56
COMANCHE,consultas prenatales, repetidas,2014-11-01,17,0,17
COMBAYA,consultas prenatales, repetidas,2014-11-01,6,5,11
CONCEPCION,consultas prenatales, repetidas,2014-11-01,12,5,17
COPACABANA,consultas prenatales, repetidas,2014-11-01,65,3,68
CORIPATA,consultas prenatales, repetidas,2014-11-01,122,0,122
CORO CORO,consultas prenatales, repetidas,2014-11-01,8,17,25
COROICO,consultas prenatales, repetidas,2014-11-01,141,1,142
CORQUE,consultas prenatales, repetidas,2014-11-01,21,9,30
COTAGAITA,consultas prenatales, repetidas,2014-11-01,72,7,79
COTOCA,consultas prenatales, repetidas,2014-11-01,439,0,439
CRUZ DE MACHACAMARCA,consultas prenatales, repetidas,2014-11-01,1,0,1
CUATRO CAÑADAS,consultas prenatales, repetidas,2014-11-01,162,2,164
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales, repetidas,2014-11-01,7,0,7
CUEVO,consultas prenatales, repetidas,2014-11-01,22,2,24
CULPINA,consultas prenatales, repetidas,2014-11-01,94,11,105
CURAHUARA DE CARANGAS,consultas prenatales, repetidas,2014-11-01,30,1,31
CURVA,consultas prenatales, repetidas,2014-11-01,5,1,6
DESAGUADERO,consultas prenatales, repetidas,2014-11-01,33,0,33
EL ALTO,consultas prenatales, repetidas,2014-11-01,6444,480,6924
EL CHORO,consultas prenatales, repetidas,2014-11-01,12,9,21
EL PUENTE(TJA),consultas prenatales, repetidas,2014-11-01,60,7,67
EL TORNO,consultas prenatales, repetidas,2014-11-01,392,0,392
EL VILLAR,consultas prenatales, repetidas,2014-11-01,22,5,27
ENTRE RIOS TRJ,consultas prenatales, repetidas,2014-11-01,74,12,86
ENTRE RIOS CBBA,consultas prenatales, repetidas,2014-11-01,287,0,287
ESCARA,consultas prenatales, repetidas,2014-11-01,1,0,1
ESCOMA,consultas prenatales, repetidas,2014-11-01,31,0,31
EUCALIPTUS,consultas prenatales, repetidas,2014-11-01,30,0,30
EUREKA (SANTOS MERCADO),consultas prenatales, repetidas,2014-11-01,8,5,13
EXALTACION,consultas prenatales, repetidas,2014-11-01,9,3,12
FERNANDEZ ALONSO,consultas prenatales, repetidas,2014-11-01,33,0,33
FILADELFIA,consultas prenatales, repetidas,2014-11-01,37,5,42
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales, repetidas,2014-11-01,40,5,45
GUANAY,consultas prenatales, repetidas,2014-11-01,109,8,117
GUAQUI,consultas prenatales, repetidas,2014-11-01,23,2,25
GUAYARAMERIN,consultas prenatales, repetidas,2014-11-01,355,1,356
GUTIERREZ,consultas prenatales, repetidas,2014-11-01,38,8,46
HUACARETA,consultas prenatales, repetidas,2014-11-01,54,13,67
HUACAYA (VILLA DE HUACAYA),consultas prenatales, repetidas,2014-11-01,14,7,21
HUACHACALLA,consultas prenatales, repetidas,2014-11-01,4,1,5
HUANUNI,consultas prenatales, repetidas,2014-11-01,172,0,172
HUARACAJE,consultas prenatales, repetidas,2014-11-01,15,0,15
HUARINA,consultas prenatales, repetidas,2014-11-01,24,0,24
HUATAJATA,consultas prenatales, repetidas,2014-11-01,11,0,11
HUAYLLAMARCA,consultas prenatales, repetidas,2014-11-01,5,11,16
HUMANATA,consultas prenatales, repetidas,2014-11-01,3,8,11
ICHOCA,consultas prenatales, repetidas,2014-11-01,11,3,14
ICLA,consultas prenatales, repetidas,2014-11-01,38,14,52
INCAHUASI,consultas prenatales, repetidas,2014-11-01,33,42,75
INGAVI (HUMAITA),consultas prenatales, repetidas,2014-11-01,7,0,7
INQUISIVI,consultas prenatales, repetidas,2014-11-01,27,8,35
IRUPANA (VILLA DE LANZA),consultas prenatales, repetidas,2014-11-01,19,67,86
IXIAMAS,consultas prenatales, repetidas,2014-11-01,54,3,57
JESUS DE MACHACA,consultas prenatales, repetidas,2014-11-01,71,3,74
LA ASUNTA,consultas prenatales, repetidas,2014-11-01,354,10,364
LA PAZ,consultas prenatales, repetidas,2014-11-01,5064,6,5070
LAGUNILLAS,consultas prenatales, repetidas,2014-11-01,45,6,51
LAJA,consultas prenatales, repetidas,2014-11-01,87,7,94
LAS CARRERAS,consultas prenatales, repetidas,2014-11-01,29,1,30
LICOMA PAMPA,consultas prenatales, repetidas,2014-11-01,19,2,21
LLALLAGUA,consultas prenatales, repetidas,2014-11-01,303,8,311
LLICA,consultas prenatales, repetidas,2014-11-01,18,6,24
LORETO,consultas prenatales, repetidas,2014-11-01,11,1,12
LURIBAY,consultas prenatales, repetidas,2014-11-01,19,2,21
MACHARETI,consultas prenatales, repetidas,2014-11-01,60,5,65
MAGDALENA,consultas prenatales, repetidas,2014-11-01,89,2,91
MALLA,consultas prenatales, repetidas,2014-11-01,8,3,11
MAPIRI,consultas prenatales, repetidas,2014-11-01,106,14,120
MECAPACA,consultas prenatales, repetidas,2014-11-01,33,7,40
MINEROS,consultas prenatales, repetidas,2014-11-01,164,1,165
MIZQUE,consultas prenatales, repetidas,2014-11-01,246,2,248
MOCOMOCO,consultas prenatales, repetidas,2014-11-01,31,8,39
MOJINETE,consultas prenatales, repetidas,2014-11-01,1,2,3
MOJOCOYA,consultas prenatales, repetidas,2014-11-01,37,5,42
MONTEAGUDO,consultas prenatales, repetidas,2014-11-01,229,9,238
MONTERO,consultas prenatales, repetidas,2014-11-01,275,0,275
MOROCHATA,consultas prenatales, repetidas,2014-11-01,30,12,42
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales, repetidas,2014-11-01,7,1,8
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales, repetidas,2014-11-01,14,5,19
OCURI,consultas prenatales, repetidas,2014-11-01,47,16,63
OMEREQUE,consultas prenatales, repetidas,2014-11-01,27,3,30
ORURO,consultas prenatales, repetidas,2014-11-01,2597,18,2615
PADCAYA,consultas prenatales, repetidas,2014-11-01,72,2,74
PADILLA,consultas prenatales, repetidas,2014-11-01,44,10,54
PAILON,consultas prenatales, repetidas,2014-11-01,108,2,110
PALCA,consultas prenatales, repetidas,2014-11-01,86,0,86
PALOS BLANCOS,consultas prenatales, repetidas,2014-11-01,229,1,230
PAMPA AULLAGAS,consultas prenatales, repetidas,2014-11-01,17,1,18
PAPEL PAMPA,consultas prenatales, repetidas,2014-11-01,27,12,39
PASORAPA,consultas prenatales, repetidas,2014-11-01,2,2,4
PATACAMAYA,consultas prenatales, repetidas,2014-11-01,164,0,164
PAZÑA,consultas prenatales, repetidas,2014-11-01,28,4,32
PELECHUCO,consultas prenatales, repetidas,2014-11-01,30,5,35
POCOATA,consultas prenatales, repetidas,2014-11-01,27,75,102
POCONA,consultas prenatales, repetidas,2014-11-01,53,3,56
POJO (CBBA),consultas prenatales, repetidas,2014-11-01,40,1,41
POOPO,consultas prenatales, repetidas,2014-11-01,12,2,14
PORCO,consultas prenatales, repetidas,2014-11-01,60,43,103
POROMA,consultas prenatales, repetidas,2014-11-01,68,28,96
PORTACHUELO,consultas prenatales, repetidas,2014-11-01,180,0,180
PORVENIR,consultas prenatales, repetidas,2014-11-01,46,0,46
POTOSI,consultas prenatales, repetidas,2014-11-01,1976,17,1993
PRESTO,consultas prenatales, repetidas,2014-11-01,35,33,68
PUCARANI,consultas prenatales, repetidas,2014-11-01,96,24,120
PUERTO ACOSTA,consultas prenatales, repetidas,2014-11-01,25,21,46
PUERTO CARABUCO,consultas prenatales, repetidas,2014-11-01,30,10,40
PUERTO GONZALO MORENO,consultas prenatales, repetidas,2014-11-01,50,0,50
PUERTO PEREZ,consultas prenatales, repetidas,2014-11-01,24,10,34
PUERTO RICO,consultas prenatales, repetidas,2014-11-01,57,0,57
PUERTO SILES,consultas prenatales, repetidas,2014-11-01,3,0,3
PUERTO VILLARROEL,consultas prenatales, repetidas,2014-11-01,508,9,517
PUNA,consultas prenatales, repetidas,2014-11-01,95,7,102
PUNATA,consultas prenatales, repetidas,2014-11-01,307,3,310
QUIABAYA,consultas prenatales, repetidas,2014-11-01,16,0,16
QUILLACOLLO,consultas prenatales, repetidas,2014-11-01,746,30,776
QUIME,consultas prenatales, repetidas,2014-11-01,64,0,64
RAVELO,consultas prenatales, repetidas,2014-11-01,30,34,64
REYES,consultas prenatales, repetidas,2014-11-01,78,4,82
RIBERALTA,consultas prenatales, repetidas,2014-11-01,1035,25,1060
ROBORE,consultas prenatales, repetidas,2014-11-01,105,0,105
RURRENABAQUE,consultas prenatales, repetidas,2014-11-01,86,0,86
SABAYA,consultas prenatales, repetidas,2014-11-01,19,1,20
SACABA,consultas prenatales, repetidas,2014-11-01,1179,1,1180
SACABAMBA,consultas prenatales, repetidas,2014-11-01,17,1,18
SACACA,consultas prenatales, repetidas,2014-11-01,103,15,118
SALINAS DE GARCI MENDOZA,consultas prenatales, repetidas,2014-11-01,49,18,67
SAN AGUSTIN,consultas prenatales, repetidas,2014-11-01,5,0,5
SAN ANDRES,consultas prenatales, repetidas,2014-11-01,49,0,49
SAN ANDRES DE MACHACA,consultas prenatales, repetidas,2014-11-01,9,4,13
SAN ANTONIO DE ESMORUCO,consultas prenatales, repetidas,2014-11-01,12,1,13
SAN ANTONIO DE LOMERIO,consultas prenatales, repetidas,2014-11-01,24,16,40
SAN BENITO,consultas prenatales, repetidas,2014-11-01,77,2,79
SAN BORJA,consultas prenatales, repetidas,2014-11-01,230,4,234
SAN BUENA VENTURA,consultas prenatales, repetidas,2014-11-01,68,3,71
SAN CARLOS,consultas prenatales, repetidas,2014-11-01,190,0,190
SAN IGNACIO,consultas prenatales, repetidas,2014-11-01,120,39,159
SAN IGNACIO DE VELASCO,consultas prenatales, repetidas,2014-11-01,319,19,338
SAN JAVIER(BNI),consultas prenatales, repetidas,2014-11-01,8,0,8
SAN JAVIER(STC),consultas prenatales, repetidas,2014-11-01,185,0,185
SAN JOAQUIN,consultas prenatales, repetidas,2014-11-01,36,0,36
SAN JOSE DE CHIQUITOS,consultas prenatales, repetidas,2014-11-01,191,0,191
SAN JUAN DE YAPACANI,consultas prenatales, repetidas,2014-11-01,40,1,41
SAN JULIAN,consultas prenatales, repetidas,2014-11-01,394,14,408
SAN LORENZO(PND),consultas prenatales, repetidas,2014-11-01,34,4,38
SAN LORENZO(TJA),consultas prenatales, repetidas,2014-11-01,145,10,155
SAN LUCAS,consultas prenatales, repetidas,2014-11-01,179,70,249
SAN MATIAS,consultas prenatales, repetidas,2014-11-01,99,0,99
SAN MIGUEL DE VELASCO,consultas prenatales, repetidas,2014-11-01,75,8,83
SAN PABLO DE LIPEZ,consultas prenatales, repetidas,2014-11-01,9,0,9
SAN PEDRO,consultas prenatales, repetidas,2014-11-01,20,0,20
SAN PEDRO DE BUENA VISTA,consultas prenatales, repetidas,2014-11-01,83,19,102
SAN PEDRO DE CURAHUARA,consultas prenatales, repetidas,2014-11-01,16,1,17
SAN PEDRO DE QUEMES,consultas prenatales, repetidas,2014-11-01,5,0,5
SAN PEDRO DE TIQUINA,consultas prenatales, repetidas,2014-11-01,14,2,16
SAN PEDRO(PND),consultas prenatales, repetidas,2014-11-01,0,8,8
SAN RAFAEL,consultas prenatales, repetidas,2014-11-01,36,3,39
SAN RAMON BENI,consultas prenatales, repetidas,2014-11-01,14,0,14
SAN RAMON SCZ,consultas prenatales, repetidas,2014-11-01,71,0,71
SANTA ANA,consultas prenatales, repetidas,2014-11-01,107,6,113
SANTA CRUZ DE LA SIERRA,consultas prenatales, repetidas,2014-11-01,9304,1,9305
SANTA ROSA,consultas prenatales, repetidas,2014-11-01,25,0,25
SANTA ROSA DEL SARA,consultas prenatales, repetidas,2014-11-01,102,0,102
SANTIAGO DE CALLAPA,consultas prenatales, repetidas,2014-11-01,5,3,8
SANTIAGO DE HUARI,consultas prenatales, repetidas,2014-11-01,48,6,54
SANTIAGO DE HUATA,consultas prenatales, repetidas,2014-11-01,28,0,28
SANTIAGO DE MACHACA,consultas prenatales, repetidas,2014-11-01,15,0,15
SANTIVAÑES,consultas prenatales, repetidas,2014-11-01,34,0,34
SANTUARIO DE QUILLACAS,consultas prenatales, repetidas,2014-11-01,15,2,17
SAPAHAQUI,consultas prenatales, repetidas,2014-11-01,34,13,47
SENA,consultas prenatales, repetidas,2014-11-01,31,7,38
SHINAOTA,consultas prenatales, repetidas,2014-11-01,99,0,99
SICA SICA (VILLA AROMA),consultas prenatales, repetidas,2014-11-01,69,2,71
SICAYA,consultas prenatales, repetidas,2014-11-01,19,0,19
SIPE SIPE,consultas prenatales, repetidas,2014-11-01,431,3,434
SOPACHUY,consultas prenatales, repetidas,2014-11-01,46,2,48
SORACACHI,consultas prenatales, repetidas,2014-11-01,26,10,36
SORATA,consultas prenatales, repetidas,2014-11-01,74,10,84
SUCRE,consultas prenatales, repetidas,2014-11-01,2842,6,2848
TACACHI,consultas prenatales, repetidas,2014-11-01,1,1,2
TACACOMA,consultas prenatales, repetidas,2014-11-01,8,0,8
TACOBAMBA,consultas prenatales, repetidas,2014-11-01,37,8,45
TACOPAYA,consultas prenatales, repetidas,2014-11-01,37,4,41
TAHUA,consultas prenatales, repetidas,2014-11-01,3,0,3
TAPACARI,consultas prenatales, repetidas,2014-11-01,72,11,83
TARABUCO,consultas prenatales, repetidas,2014-11-01,90,14,104
TARACO,consultas prenatales, repetidas,2014-11-01,18,4,22
TARATA,consultas prenatales, repetidas,2014-11-01,66,0,66
TARIJA,consultas prenatales, repetidas,2014-11-01,1997,154,2151
TARVITA,consultas prenatales, repetidas,2014-11-01,69,14,83
TEOPONTE,consultas prenatales, repetidas,2014-11-01,80,0,80
TIAWANACU,consultas prenatales, repetidas,2014-11-01,38,25,63
TINGUIPAYA,consultas prenatales, repetidas,2014-11-01,59,16,75
TIPUANI,consultas prenatales, repetidas,2014-11-01,80,0,80
TIQUIPAYA,consultas prenatales, repetidas,2014-11-01,526,7,533
TIRAQUE (CBBA),consultas prenatales, repetidas,2014-11-01,126,10,136
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales, repetidas,2014-11-01,4,0,4
TOCO,consultas prenatales, repetidas,2014-11-01,23,0,23
TODOS SANTOS,consultas prenatales, repetidas,2014-11-01,1,2,3
TOLATA,consultas prenatales, repetidas,2014-11-01,48,1,49
TOLEDO,consultas prenatales, repetidas,2014-11-01,16,3,19
TOMAVE,consultas prenatales, repetidas,2014-11-01,31,9,40
TOMINA,consultas prenatales, repetidas,2014-11-01,53,3,56
TORO TORO,consultas prenatales, repetidas,2014-11-01,33,5,38
TOTORA(CBBA),consultas prenatales, repetidas,2014-11-01,158,6,164
TOTORA(ORR),consultas prenatales, repetidas,2014-11-01,21,3,24
TRINIDAD,consultas prenatales, repetidas,2014-11-01,971,0,971
TUPIZA,consultas prenatales, repetidas,2014-11-01,323,13,336
TURCO,consultas prenatales, repetidas,2014-11-01,6,0,6
UMALA,consultas prenatales, repetidas,2014-11-01,13,4,17
UNCIA,consultas prenatales, repetidas,2014-11-01,132,19,151
URIONDO (A. CONCEPCION),consultas prenatales, repetidas,2014-11-01,90,11,101
UYUNI,consultas prenatales, repetidas,2014-11-01,295,8,303
VACAS,consultas prenatales, repetidas,2014-11-01,39,1,40
VIACHA,consultas prenatales, repetidas,2014-11-01,401,21,422
VILA VILA,consultas prenatales, repetidas,2014-11-01,16,2,18
VILLA CHARCAS,consultas prenatales, repetidas,2014-11-01,39,26,65
VILLA MONTES,consultas prenatales, repetidas,2014-11-01,318,28,346
VILLA NUEVA (LOMA ALTA),consultas prenatales, repetidas,2014-11-01,14,1,15
VILLA RIVERO,consultas prenatales, repetidas,2014-11-01,16,0,16
VILLA SERRANO,consultas prenatales, repetidas,2014-11-01,63,14,77
VILLA TUNARI,consultas prenatales, repetidas,2014-11-01,620,0,620
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales, repetidas,2014-11-01,59,20,79
VILLAZON,consultas prenatales, repetidas,2014-11-01,378,18,396
VINTO,consultas prenatales, repetidas,2014-11-01,250,32,282
VITICHI,consultas prenatales, repetidas,2014-11-01,18,1,19
WALDO BALLIVIAN,consultas prenatales, repetidas,2014-11-01,7,2,9
YACO,consultas prenatales, repetidas,2014-11-01,7,7,14
YACUIBA,consultas prenatales, repetidas,2014-11-01,653,8,661
YAMPARAEZ,consultas prenatales, repetidas,2014-11-01,37,8,45
YANACACHI,consultas prenatales, repetidas,2014-11-01,34,0,34
YAPACANI,consultas prenatales, repetidas,2014-11-01,350,17,367
YOCALLA,consultas prenatales, repetidas,2014-11-01,36,2,38
YOTALA,consultas prenatales, repetidas,2014-11-01,55,8,63
YUNCHARA,consultas prenatales, repetidas,2014-11-01,16,13,29
ZUDAÑEZ,consultas prenatales, repetidas,2014-11-01,38,9,47
ACACIO,consultas prenatales, repetidas,2014-12-01,15,3,18
ACHACACHI,consultas prenatales, repetidas,2014-12-01,208,2,210
ACHOCALLA,consultas prenatales, repetidas,2014-12-01,56,53,109
AIQUILE,consultas prenatales, repetidas,2014-12-01,193,10,203
ALALAY,consultas prenatales, repetidas,2014-12-01,2,2,4
ALCALA,consultas prenatales, repetidas,2014-12-01,18,1,19
ALTO BENI,consultas prenatales, repetidas,2014-12-01,42,1,43
ANCORAIMES,consultas prenatales, repetidas,2014-12-01,35,2,37
ANDAMARCA,consultas prenatales, repetidas,2014-12-01,14,2,16
ANTEQUERA,consultas prenatales, repetidas,2014-12-01,15,4,19
ANZALDO,consultas prenatales, repetidas,2014-12-01,0,1,1
