municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
PORONGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
PORVENIR,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
POSTRER VALLE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
POTOSI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,209,209
PRESTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,19,19
PUCARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,38,38
PUERTO ACOSTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
PUERTO CARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
PUERTO GONZALO MORENO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,15,15
PUERTO PEREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
PUERTO QUIJARRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,21,21
PUERTO RICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,20,20
PUERTO SILES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
PUERTO SUAREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,9,9
PUERTO VILLARROEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,32,32
PUNATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,77,77
QUIABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
QUILLACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
QUIME,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,23,23
RAVELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
REYES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
RIBERALTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,171,171
ROBORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,43,43
SACABA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,108,108
SACABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
SACACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,9,9
SAIPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,10,10
SALINAS DE GARCI MENDOZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,10,10
SAN AGUSTIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
SAN ANDRES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
SAN ANDRES DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,17,17
SAN ANTONIO DE ESMORUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
SAN ANTONIO DE LOMERIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
SAN BORJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
SAN BUENA VENTURA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,6,6
SAN CARLOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
SAN IGNACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,12,12
SAN IGNACIO DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,41,41
SAN JAVIER(BNI),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
SAN JAVIER(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
SAN JOAQUIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
SAN JOSE DE CHIQUITOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,22,22
SAN JUAN DE YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
SAN JULIAN,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,56,56
SAN LORENZO(PND),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
SAN LORENZO(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,110,110
SAN LUCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
SAN MIGUEL DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,27,27
SAN PABLO DE LIPEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
SAN PEDRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,29,29
SAN PEDRO DE BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
SAN PEDRO DE CURAHUARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
SAN PEDRO DE QUEMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
SAN PEDRO DE TIQUINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,9,9
SAN RAFAEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
SAN RAMON BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
SAN RAMON SCZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,9,9
SANTA ANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
SANTA CRUZ DE LA SIERRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2938,2938
SANTIAGO DE HUARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,24,24
SANTIAGO DE HUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
SANTIAGO DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
SANTUARIO DE QUILLACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
SAPAHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
SENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,16,16
SHINAOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,27,27
SICA SICA (VILLA AROMA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,35,35
SICAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
SIPE SIPE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,34,34
SOPACHUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
SORATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,17,17
SUCRE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1147,1147
TACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
TACACOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
TACOPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
TAPACARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,8,8
TARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,24,24
TARACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,12,12
TARATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,28,28
TARIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,593,593
TARVITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
TEOPONTE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,4,4
TIAWANACU,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,23,23
TINGUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,5,5
TIPUANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,8,8
TIQUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,83,83
TIRAQUE (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
TITO YUPANQUI (PARQUIPUJIO),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
TOLATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
TOLEDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
TORO TORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
TOTORA(CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,20,20
TRIGAL,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
TRINIDAD,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,346,346
TUPIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,133,133
UMALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
UNCIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
URIONDO (A. CONCEPCION),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
URUBICHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
UYUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,27,27
VACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,28,28
VALLEGRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,28,28
VIACHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,44,44
VILA VILA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,2,2
VILLA CHARCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
VILLA MONTES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,26,26
VILLA RIVERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
VILLA SERRANO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
VILLA TUNARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,86,86
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
VILLAZON,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,252,252
VINTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,1,1
WARNES,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,159,159
YACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,7,7
YACUIBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,142,142
YAMPARAEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,20,20
YANACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,3,3
YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,148,148
YOTALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,29,29
YUNCHARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,13,13
ZUDAÑEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-11-01,11,11
ACHACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,54,54
ACHOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,16,16
AIQUILE,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,16,16
ALALAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,1,1
ALCALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,13,13
ALTO BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,1,1
ANZALDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,10,10
APOLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,5,5
ARAMPAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,1,1
ARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,12,12
ARBIETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,65,65
ARQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,6,6
ASCENCION DE GUARAYOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,20,20
ATOCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,62,62
AUCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,4,4
AYATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,1,1
AYO AYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,19,19
AZURDUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,3,3
BATALLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,13,13
BAURES,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,5,5
BELLA FLOR,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,8,8
BERMEJO,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,16,16
BETANZOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,44,44
BOLIVAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,4,4
BOLPEBRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,1,1
BOYUIBE,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,10,10
CABEZAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,16,16
CAIROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-12-01,20,20
