,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
VILLA MONTES,estado nutricional,l talla normal,2012-10-01,339,368,254,295,296,257,889,920,1809
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla normal,2012-10-01,53,45,23,44,50,63,126,152,278
VILLA RIVERO,estado nutricional,l talla normal,2012-10-01,107,94,86,60,92,52,285,206,491
VILLA SERRANO,estado nutricional,l talla normal,2012-10-01,75,73,76,87,143,117,294,277,571
VILLA TUNARI,estado nutricional,l talla normal,2012-10-01,1158,1001,975,845,917,829,3050,2675,5725
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla normal,2012-10-01,94,81,88,74,138,105,320,260,580
VILLAZON,estado nutricional,l talla normal,2012-10-01,277,275,249,250,226,243,752,768,1520
VINTO,estado nutricional,l talla normal,2012-10-01,463,412,297,257,201,190,961,859,1820
VITICHI,estado nutricional,l talla normal,2012-10-01,63,68,60,53,50,61,173,182,355
WALDO BALLIVIAN,estado nutricional,l talla normal,2012-10-01,10,22,13,20,17,10,40,52,92
WARNES,estado nutricional,l talla normal,2012-10-01,680,541,433,462,570,450,1683,1453,3136
YACO,estado nutricional,l talla normal,2012-10-01,52,58,58,55,64,50,174,163,337
YACUIBA,estado nutricional,l talla normal,2012-10-01,747,698,521,462,496,389,1764,1549,3313
YAMPARAEZ,estado nutricional,l talla normal,2012-10-01,59,50,41,53,85,95,185,198,383
YAPACANI,estado nutricional,l talla normal,2012-10-01,487,460,351,324,241,1551,1079,2335,3414
YOCALLA,estado nutricional,l talla normal,2012-10-01,74,63,61,53,53,50,188,166,354
YOTALA,estado nutricional,l talla normal,2012-10-01,54,63,48,51,116,119,218,233,451
YUNCHARA,estado nutricional,l talla normal,2012-10-01,41,45,34,37,87,75,162,157,319
YUNGUYO DE LITORAL,estado nutricional,l talla normal,2012-10-01,2,1,0,0,0,0,2,1,3
ZUDAÑEZ,estado nutricional,l talla normal,2012-10-01,55,55,50,42,86,92,191,189,380
ACACIO,estado nutricional,l talla normal,2012-11-01,52,44,28,32,38,52,118,128,246
ACHACACHI,estado nutricional,l talla normal,2012-11-01,209,213,200,170,224,176,633,559,1192
ACHOCALLA,estado nutricional,l talla normal,2012-11-01,82,85,61,60,74,56,217,201,418
AIQUILE,estado nutricional,l talla normal,2012-11-01,261,255,199,230,206,158,666,643,1309
ALALAY,estado nutricional,l talla normal,2012-11-01,15,23,17,15,17,13,49,51,100
ALCALA,estado nutricional,l talla normal,2012-11-01,34,25,20,25,48,45,102,95,197
ALTO BENI,estado nutricional,l talla normal,2012-11-01,78,61,90,66,60,61,228,188,416
ANCORAIMES,estado nutricional,l talla normal,2012-11-01,188,74,64,90,79,81,331,245,576
ANDAMARCA,estado nutricional,l talla normal,2012-11-01,21,24,16,16,23,51,60,91,151
ANTEQUERA,estado nutricional,l talla normal,2012-11-01,21,29,16,14,19,18,56,61,117
ANZALDO,estado nutricional,l talla normal,2012-11-01,51,54,34,39,32,34,117,127,244
APOLO,estado nutricional,l talla normal,2012-11-01,202,200,143,147,147,142,492,489,981
ARAMPAMPA,estado nutricional,l talla normal,2012-11-01,39,39,19,30,48,38,106,107,213
ARANI,estado nutricional,l talla normal,2012-11-01,115,114,106,90,103,79,324,283,607
ARBIETO,estado nutricional,l talla normal,2012-11-01,129,149,102,121,138,155,369,425,794
ARQUE,estado nutricional,l talla normal,2012-11-01,121,112,111,81,83,86,315,279,594
ASCENCION DE GUARAYOS,estado nutricional,l talla normal,2012-11-01,235,242,185,183,225,213,645,638,1283
ATOCHA,estado nutricional,l talla normal,2012-11-01,91,95,55,61,85,103,231,259,490
AUCAPATA,estado nutricional,l talla normal,2012-11-01,40,41,25,36,45,34,110,111,221
AYATA,estado nutricional,l talla normal,2012-11-01,70,93,77,54,56,65,203,212,415
AYO AYO,estado nutricional,l talla normal,2012-11-01,59,74,46,57,42,31,147,162,309
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla normal,2012-11-01,224,201,222,218,258,211,704,630,1334
AZURDUY,estado nutricional,l talla normal,2012-11-01,89,94,79,64,135,115,303,273,576
BATALLAS,estado nutricional,l talla normal,2012-11-01,135,132,99,84,54,78,288,294,582
BAURES,estado nutricional,l talla normal,2012-11-01,48,60,33,25,61,36,142,121,263
BELEN DE ANDAMARCA,estado nutricional,l talla normal,2012-11-01,23,16,9,11,22,17,54,44,98
BELEN DE URMIRI,estado nutricional,l talla normal,2012-11-01,19,12,7,8,7,6,33,26,59
BELLA FLOR,estado nutricional,l talla normal,2012-11-01,19,17,19,21,24,22,62,60,122
BERMEJO,estado nutricional,l talla normal,2012-11-01,226,253,271,189,148,203,645,645,1290
BETANZOS,estado nutricional,l talla normal,2012-11-01,263,273,200,224,230,222,693,719,1412
BOLIVAR,estado nutricional,l talla normal,2012-11-01,70,58,29,43,52,59,151,160,311
BOLPEBRA,estado nutricional,l talla normal,2012-11-01,8,6,8,16,13,10,29,32,61
BOYUIBE,estado nutricional,l talla normal,2012-11-01,30,15,30,22,41,30,101,67,168
BUENA VISTA,estado nutricional,l talla normal,2012-11-01,105,99,84,74,77,63,266,236,502
CABEZAS,estado nutricional,l talla normal,2012-11-01,129,125,96,110,137,128,362,363,725
CAIROMA,estado nutricional,l talla normal,2012-11-01,63,76,41,57,53,46,157,179,336
"CAIZA ""D""",estado nutricional,l talla normal,2012-11-01,82,61,56,55,48,56,186,172,358
CAJUATA,estado nutricional,l talla normal,2012-11-01,49,53,42,45,55,41,146,139,285
CALACOTO,estado nutricional,l talla normal,2012-11-01,34,30,26,34,37,18,97,82,179
CALAMARCA,estado nutricional,l talla normal,2012-11-01,94,82,66,77,76,59,236,218,454
CAMARGO,estado nutricional,l talla normal,2012-11-01,127,122,78,89,101,111,306,322,628
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla normal,2012-11-01,24,29,19,19,31,38,74,86,160
CAMIRI,estado nutricional,l talla normal,2012-11-01,325,293,250,204,237,219,812,716,1528
CAPINOTA,estado nutricional,l talla normal,2012-11-01,90,73,61,63,50,41,201,177,378
CAQUIAVIRI,estado nutricional,l talla normal,2012-11-01,54,60,42,54,41,39,137,153,290
CARACOLLO,estado nutricional,l talla normal,2012-11-01,157,146,114,122,127,119,398,387,785
CARANAVI,estado nutricional,l talla normal,2012-11-01,363,353,343,279,242,226,948,858,1806
CARANGAS,estado nutricional,l talla normal,2012-11-01,1,4,2,2,2,1,5,7,12
CARAPARI,estado nutricional,l talla normal,2012-11-01,156,139,135,115,139,141,430,395,825
CARIPUYO,estado nutricional,l talla normal,2012-11-01,85,81,38,58,38,34,161,173,334
CARMEN RIVERO TORREZ,estado nutricional,l talla normal,2012-11-01,53,45,36,20,31,38,120,103,223
CATACORA,estado nutricional,l talla normal,2012-11-01,3,1,7,1,9,5,19,7,26
CHACARILLA,estado nutricional,l talla normal,2012-11-01,10,4,5,3,9,3,24,10,34
CHALLAPATA,estado nutricional,l talla normal,2012-11-01,354,342,223,187,202,185,779,714,1493
CHAQUI,estado nutricional,l talla normal,2012-11-01,61,69,52,34,46,45,159,148,307
CHARAGUA,estado nutricional,l talla normal,2012-11-01,242,248,176,159,246,238,664,645,1309
CHARAÑA,estado nutricional,l talla normal,2012-11-01,12,16,21,12,23,24,56,52,108
CHAYANTA,estado nutricional,l talla normal,2012-11-01,104,106,74,103,44,64,222,273,495
CHIMORE,estado nutricional,l talla normal,2012-11-01,99,82,81,63,78,86,258,231,489
CHIPAYA,estado nutricional,l talla normal,2012-11-01,25,17,17,12,20,16,62,45,107
CHOQUE COTA,estado nutricional,l talla normal,2012-11-01,9,14,11,6,21,23,41,43,84
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla normal,2012-11-01,117,89,79,66,45,67,241,222,463
CHUMA,estado nutricional,l talla normal,2012-11-01,58,44,74,64,56,52,188,160,348
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla normal,2012-11-01,60,51,45,42,34,33,139,126,265
CKOCHAS,estado nutricional,l talla normal,2012-11-01,146,139,108,99,71,65,325,303,628
CLIZA,estado nutricional,l talla normal,2012-11-01,205,196,139,95,117,111,461,402,863
COBIJA,estado nutricional,l talla normal,2012-11-01,493,468,300,294,207,216,1000,978,1978
COCAPATA,estado nutricional,l talla normal,2012-11-01,164,129,141,146,133,124,438,399,837
COCHABAMBA,estado nutricional,l talla normal,2012-11-01,3458,3042,2193,1979,1682,1586,7333,6607,13940
COIPASA,estado nutricional,l talla normal,2012-11-01,4,4,6,5,6,13,16,22,38
COLCAPIRHUA,estado nutricional,l talla normal,2012-11-01,365,335,242,239,293,222,900,796,1696
"COLCHA ""K""",estado nutricional,l talla normal,2012-11-01,104,133,90,85,112,83,306,301,607
COLLANA,estado nutricional,l talla normal,2012-11-01,26,13,18,16,22,30,66,59,125
COLOMI,estado nutricional,l talla normal,2012-11-01,156,164,122,103,116,114,394,381,775
COLPA BELGICA,estado nutricional,l talla normal,2012-11-01,9,7,0,1,2,1,11,9,20
COLQUECHACA,estado nutricional,l talla normal,2012-11-01,253,263,184,219,84,70,521,552,1073
COLQUENCHA,estado nutricional,l talla normal,2012-11-01,46,59,50,65,34,27,130,151,281
COLQUIRI,estado nutricional,l talla normal,2012-11-01,140,109,82,85,86,69,308,263,571
COMANCHE,estado nutricional,l talla normal,2012-11-01,21,16,30,20,19,24,70,60,130
COMARAPA,estado nutricional,l talla normal,2012-11-01,143,104,103,86,43,45,289,235,524
COMBAYA,estado nutricional,l talla normal,2012-11-01,23,15,20,21,23,18,66,54,120
CONCEPCION,estado nutricional,l talla normal,2012-11-01,121,129,76,87,41,43,238,259,497
COPACABANA,estado nutricional,l talla normal,2012-11-01,76,62,51,48,31,32,158,142,300
CORO CORO,estado nutricional,l talla normal,2012-11-01,51,54,59,47,36,65,146,166,312
CORQUE,estado nutricional,l talla normal,2012-11-01,50,54,62,41,49,55,161,150,311
COTAGAITA,estado nutricional,l talla normal,2012-11-01,167,187,106,126,133,158,406,471,877
COTOCA,estado nutricional,l talla normal,2012-11-01,344,306,152,143,125,107,621,556,1177
CRUZ DE MACHACAMARCA,estado nutricional,l talla normal,2012-11-01,2,2,3,1,10,8,15,11,26
CUATRO CAÑADAS,estado nutricional,l talla normal,2012-11-01,147,132,130,125,163,139,440,396,836
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla normal,2012-11-01,8,8,17,7,11,16,36,31,67
CUEVO,estado nutricional,l talla normal,2012-11-01,29,46,41,25,55,45,125,116,241
CULPINA,estado nutricional,l talla normal,2012-11-01,138,179,130,128,185,165,453,472,925
CURAHUARA DE CARANGAS,estado nutricional,l talla normal,2012-11-01,49,49,34,47,39,24,122,120,242
CURVA,estado nutricional,l talla normal,2012-11-01,21,37,17,30,34,21,72,88,160
DESAGUADERO,estado nutricional,l talla normal,2012-11-01,24,29,16,14,26,23,66,66,132
EL ALTO,estado nutricional,l talla normal,2012-11-01,5147,4790,3730,3649,3066,2929,11943,11368,23311
EL CHORO,estado nutricional,l talla normal,2012-11-01,50,45,26,60,49,54,125,159,284
EL PUENTE(STC),estado nutricional,l talla normal,2012-11-01,95,105,106,75,77,70,278,250,528
EL PUENTE(TJA),estado nutricional,l talla normal,2012-11-01,91,81,77,76,102,90,270,247,517
EL TORNO,estado nutricional,l talla normal,2012-11-01,349,374,254,256,227,198,830,828,1658
EL VILLAR,estado nutricional,l talla normal,2012-11-01,40,21,24,25,54,59,118,105,223
ENTRE RIOS TRJ,estado nutricional,l talla normal,2012-11-01,213,211,151,180,129,125,493,516,1009
ENTRE RIOS CBBA,estado nutricional,l talla normal,2012-11-01,337,352,299,274,247,190,883,816,1699
ESCARA,estado nutricional,l talla normal,2012-11-01,0,0,2,0,0,1,2,1,3
ESCOMA,estado nutricional,l talla normal,2012-11-01,32,42,37,36,70,60,139,138,277
ESMERALDA,estado nutricional,l talla normal,2012-11-01,2,3,3,2,3,5,8,10,18
EUCALIPTUS,estado nutricional,l talla normal,2012-11-01,78,61,31,42,47,49,156,152,308
EUREKA (SANTOS MERCADO),estado nutricional,l talla normal,2012-11-01,20,17,12,7,12,11,44,35,79
EXALTACION,estado nutricional,l talla normal,2012-11-01,9,15,18,14,5,4,32,33,65
FERNANDEZ ALONSO,estado nutricional,l talla normal,2012-11-01,106,104,106,90,116,112,328,306,634
FILADELFIA,estado nutricional,l talla normal,2012-11-01,38,36,40,27,17,22,95,85,180
GENERAL SAAVEDRA,estado nutricional,l talla normal,2012-11-01,126,112,120,105,104,88,350,305,655
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla normal,2012-11-01,78,67,54,48,48,60,180,175,355
GUANAY,estado nutricional,l talla normal,2012-11-01,142,109,97,84,112,104,351,297,648
GUAQUI,estado nutricional,l talla normal,2012-11-01,35,37,36,49,40,35,111,121,232
GUAYARAMERIN,estado nutricional,l talla normal,2012-11-01,475,437,337,333,262,244,1074,1014,2088
GUTIERREZ,estado nutricional,l talla normal,2012-11-01,146,221,217,123,162,201,525,545,1070
HUACARETA,estado nutricional,l talla normal,2012-11-01,72,83,90,90,170,151,332,324,656
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla normal,2012-11-01,22,29,16,19,40,32,78,80,158
HUACHACALLA,estado nutricional,l talla normal,2012-11-01,7,7,10,8,17,12,34,27,61
HUANUNI,estado nutricional,l talla normal,2012-11-01,207,178,100,104,134,104,441,386,827
HUARACAJE,estado nutricional,l talla normal,2012-11-01,39,35,34,27,22,28,95,90,185
HUARINA,estado nutricional,l talla normal,2012-11-01,27,44,34,30,35,41,96,115,211
HUAYLLAMARCA,estado nutricional,l talla normal,2012-11-01,18,20,31,31,39,44,88,95,183
HUMANATA,estado nutricional,l talla normal,2012-11-01,18,21,17,21,33,16,68,58,126
ICHOCA,estado nutricional,l talla normal,2012-11-01,18,14,23,17,30,21,71,52,123
ICLA,estado nutricional,l talla normal,2012-11-01,57,68,48,63,94,115,199,246,445
INCAHUASI,estado nutricional,l talla normal,2012-11-01,117,98,85,104,122,150,324,352,676
INGAVI (HUMAITA),estado nutricional,l talla normal,2012-11-01,7,2,2,2,5,5,14,9,23
INQUISIVI,estado nutricional,l talla normal,2012-11-01,75,55,71,58,60,62,206,175,381
IRUPANA (VILLA DE LANZA),estado nutricional,l talla normal,2012-11-01,80,93,99,93,118,113,297,299,596
IXIAMAS,estado nutricional,l talla normal,2012-11-01,63,71,46,50,39,43,148,164,312
JESUS DE MACHACA,estado nutricional,l talla normal,2012-11-01,55,94,64,70,80,78,199,242,441
LA ASUNTA,estado nutricional,l talla normal,2012-11-01,106,104,80,65,83,81,269,250,519
LA GUARDIA,estado nutricional,l talla normal,2012-11-01,562,561,232,258,180,192,974,1011,1985
LA PAZ,estado nutricional,l talla normal,2012-11-01,4130,3966,2768,2624,2902,2732,9800,9322,19122
LA RIVERA,estado nutricional,l talla normal,2012-11-01,2,1,1,0,2,4,5,5,10
LAGUNILLAS,estado nutricional,l talla normal,2012-11-01,54,66,54,49,115,95,223,210,433
LAJA,estado nutricional,l talla normal,2012-11-01,117,112,110,107,89,83,316,302,618
LAS CARRERAS,estado nutricional,l talla normal,2012-11-01,33,31,18,19,52,44,103,94,197
LICOMA PAMPA,estado nutricional,l talla normal,2012-11-01,27,24,32,17,35,29,94,70,164
LLALLAGUA,estado nutricional,l talla normal,2012-11-01,347,277,247,232,134,155,728,664,1392
LLICA,estado nutricional,l talla normal,2012-11-01,44,28,19,19,18,25,81,72,153
LORETO,estado nutricional,l talla normal,2012-11-01,25,29,22,30,38,36,85,95,180
LURIBAY,estado nutricional,l talla normal,2012-11-01,57,42,49,46,64,62,170,150,320
MACHACAMARCA,estado nutricional,l talla normal,2012-11-01,43,32,29,40,39,39,111,111,222
MACHARETI,estado nutricional,l talla normal,2012-11-01,64,54,62,56,149,119,275,229,504
MAGDALENA,estado nutricional,l talla normal,2012-11-01,97,92,54,65,41,58,192,215,407
MAIRANA,estado nutricional,l talla normal,2012-11-01,47,47,50,64,30,28,127,139,266
MALLA,estado nutricional,l talla normal,2012-11-01,9,13,10,7,14,15,33,35,68
MAPIRI,estado nutricional,l talla normal,2012-11-01,111,133,118,84,108,103,337,320,657
MECAPACA,estado nutricional,l talla normal,2012-11-01,107,82,94,83,93,86,294,251,545
MINEROS,estado nutricional,l talla normal,2012-11-01,164,176,155,126,90,101,409,403,812
MIZQUE,estado nutricional,l talla normal,2012-11-01,370,266,289,246,249,199,908,711,1619
MOCOMOCO,estado nutricional,l talla normal,2012-11-01,92,98,93,78,70,85,255,261,516
MOJINETE,estado nutricional,l talla normal,2012-11-01,1,9,1,1,3,4,5,14,19
MOJOCOYA,estado nutricional,l talla normal,2012-11-01,55,47,47,64,104,84,206,195,401
MONTEAGUDO,estado nutricional,l talla normal,2012-11-01,243,266,204,224,304,297,751,787,1538
MONTERO,estado nutricional,l talla normal,2012-11-01,1003,1000,744,749,601,646,2348,2395,4743
MORO MORO,estado nutricional,l talla normal,2012-11-01,25,24,25,19,16,11,66,54,120
MOROCHATA,estado nutricional,l talla normal,2012-11-01,79,73,62,71,92,89,233,233,466
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla normal,2012-11-01,28,14,22,9,8,13,58,36,94
NAZACARA DE PACAJES,estado nutricional,l talla normal,2012-11-01,4,0,7,5,6,4,17,9,26
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla normal,2012-11-01,36,24,18,20,47,34,101,78,179
OCURI,estado nutricional,l talla normal,2012-11-01,116,112,83,73,66,72,265,257,522
OKINAWA,estado nutricional,l talla normal,2012-11-01,150,125,101,99,105,106,356,330,686
OMEREQUE,estado nutricional,l talla normal,2012-11-01,69,68,62,56,66,56,197,180,377
ORURO,estado nutricional,l talla normal,2012-11-01,2012,2033,1577,1573,1182,1139,4771,4745,9516
PADCAYA,estado nutricional,l talla normal,2012-11-01,156,164,141,131,131,119,428,414,842
PADILLA,estado nutricional,l talla normal,2012-11-01,69,94,69,92,146,165,284,351,635
PAILON,estado nutricional,l talla normal,2012-11-01,233,177,146,162,169,119,548,458,1006
PALCA,estado nutricional,l talla normal,2012-11-01,142,106,95,88,113,109,350,303,653
PALOS BLANCOS,estado nutricional,l talla normal,2012-11-01,240,212,197,186,209,205,646,603,1249
PAMPA AULLAGAS,estado nutricional,l talla normal,2012-11-01,26,14,9,12,9,14,44,40,84
PAMPA GRANDE,estado nutricional,l talla normal,2012-11-01,53,59,54,63,30,26,137,148,285
PAPEL PAMPA,estado nutricional,l talla normal,2012-11-01,41,39,54,28,34,35,129,102,231
PASORAPA,estado nutricional,l talla normal,2012-11-01,14,10,16,13,19,25,49,48,97
PATACAMAYA,estado nutricional,l talla normal,2012-11-01,178,178,102,137,62,71,342,386,728
PAZÑA,estado nutricional,l talla normal,2012-11-01,56,48,45,47,53,77,154,172,326
PELECHUCO,estado nutricional,l talla normal,2012-11-01,72,48,41,38,56,41,169,127,296
POCOATA,estado nutricional,l talla normal,2012-11-01,154,199,118,145,120,115,392,459,851
POCONA,estado nutricional,l talla normal,2012-11-01,105,98,110,85,79,69,294,252,546
POJO (CBBA),estado nutricional,l talla normal,2012-11-01,154,126,101,89,83,105,338,320,658
POOPO,estado nutricional,l talla normal,2012-11-01,47,47,23,28,21,33,91,108,199
PORCO,estado nutricional,l talla normal,2012-11-01,108,112,65,66,55,55,228,233,461
POROMA,estado nutricional,l talla normal,2012-11-01,137,161,120,109,186,187,443,457,900
PORONGO,estado nutricional,l talla normal,2012-11-01,79,66,64,71,62,52,205,189,394
PORTACHUELO,estado nutricional,l talla normal,2012-11-01,97,95,42,48,49,34,188,177,365
PORVENIR,estado nutricional,l talla normal,2012-11-01,49,59,50,50,49,57,148,166,314
POSTRER VALLE,estado nutricional,l talla normal,2012-11-01,15,12,12,10,6,7,33,29,62
POTOSI,estado nutricional,l talla normal,2012-11-01,1265,1213,633,621,520,545,2418,2379,4797
PRESTO,estado nutricional,l talla normal,2012-11-01,76,68,42,59,74,61,192,188,380
PUCARA,estado nutricional,l talla normal,2012-11-01,22,6,12,16,9,8,43,30,73
PUCARANI,estado nutricional,l talla normal,2012-11-01,235,235,185,186,134,146,554,567,1121
PUERTO ACOSTA,estado nutricional,l talla normal,2012-11-01,75,79,47,52,30,27,152,158,310
PUERTO CARABUCO,estado nutricional,l talla normal,2012-11-01,74,85,68,67,132,127,274,279,553
PUERTO GONZALO MORENO,estado nutricional,l talla normal,2012-11-01,170,86,69,59,62,70,301,215,516
PUERTO PEREZ,estado nutricional,l talla normal,2012-11-01,37,47,44,39,48,65,129,151,280
PUERTO QUIJARRO,estado nutricional,l talla normal,2012-11-01,136,121,125,99,68,52,329,272,601
PUERTO RICO,estado nutricional,l talla normal,2012-11-01,60,71,51,51,30,37,141,159,300
PUERTO SILES,estado nutricional,l talla normal,2012-11-01,11,8,4,6,11,11,26,25,51
PUERTO SUAREZ,estado nutricional,l talla normal,2012-11-01,116,116,63,69,41,34,220,219,439
PUERTO VILLARROEL,estado nutricional,l talla normal,2012-11-01,517,441,405,361,406,340,1328,1142,2470
PUNA,estado nutricional,l talla normal,2012-11-01,154,148,119,127,120,111,393,386,779
PUNATA,estado nutricional,l talla normal,2012-11-01,259,191,156,153,176,161,591,505,1096
