,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
MACHACAMARCA,estado nutricional,l 9.1 talla normal,2011-11-01,46,44,27,34,36,24,109,102,211
MACHARETI,estado nutricional,l 9.1 talla normal,2011-11-01,51,54,64,57,115,89,230,200,430
MAGDALENA,estado nutricional,l 9.1 talla normal,2011-11-01,116,108,53,48,67,69,236,225,461
MAIRANA,estado nutricional,l 9.1 talla normal,2011-11-01,105,108,62,77,55,62,222,247,469
MALLA,estado nutricional,l 9.1 talla normal,2011-11-01,19,16,12,13,14,22,45,51,96
MAPIRI,estado nutricional,l 9.1 talla normal,2011-11-01,128,128,54,66,72,71,254,265,519
MECAPACA,estado nutricional,l 9.1 talla normal,2011-11-01,96,81,59,63,68,66,223,210,433
MINEROS,estado nutricional,l 9.1 talla normal,2011-11-01,230,206,147,141,132,122,509,469,978
MIZQUE,estado nutricional,l 9.1 talla normal,2011-11-01,323,254,192,190,178,164,693,608,1301
MOCOMOCO,estado nutricional,l 9.1 talla normal,2011-11-01,105,83,82,85,54,66,241,234,475
MOJINETE,estado nutricional,l 9.1 talla normal,2011-11-01,3,2,2,8,4,3,9,13,22
MOJOCOYA,estado nutricional,l 9.1 talla normal,2011-11-01,58,77,51,49,95,91,204,217,421
MONTEAGUDO,estado nutricional,l 9.1 talla normal,2011-11-01,234,234,219,196,235,259,688,689,1377
MONTERO,estado nutricional,l 9.1 talla normal,2011-11-01,1062,1193,633,637,709,710,2404,2540,4944
MORO MORO,estado nutricional,l 9.1 talla normal,2011-11-01,25,21,17,10,8,17,50,48,98
MOROCHATA,estado nutricional,l 9.1 talla normal,2011-11-01,128,111,81,76,97,91,306,278,584
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.1 talla normal,2011-11-01,14,13,23,18,13,18,50,49,99
NAZACARA DE PACAJES,estado nutricional,l 9.1 talla normal,2011-11-01,6,3,0,2,2,2,8,7,15
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.1 talla normal,2011-11-01,23,25,19,15,46,43,88,83,171
OCURI,estado nutricional,l 9.1 talla normal,2011-11-01,137,120,94,93,85,89,316,302,618
OKINAWA,estado nutricional,l 9.1 talla normal,2011-11-01,122,121,90,86,96,88,308,295,603
OMEREQUE,estado nutricional,l 9.1 talla normal,2011-11-01,76,67,51,42,81,75,208,184,392
ORURO,estado nutricional,l 9.1 talla normal,2011-11-01,1831,1796,1239,1279,938,982,4008,4057,8065
PADCAYA,estado nutricional,l 9.1 talla normal,2011-11-01,128,144,130,99,131,152,389,395,784
PADILLA,estado nutricional,l 9.1 talla normal,2011-11-01,94,105,74,84,173,184,341,373,714
PAILON,estado nutricional,l 9.1 talla normal,2011-11-01,242,206,180,135,180,176,602,517,1119
PALCA,estado nutricional,l 9.1 talla normal,2011-11-01,120,119,71,58,58,54,249,231,480
PALOS BLANCOS,estado nutricional,l 9.1 talla normal,2011-11-01,306,249,211,172,186,224,703,645,1348
PAMPA AULLAGAS,estado nutricional,l 9.1 talla normal,2011-11-01,16,19,15,13,11,9,42,41,83
PAMPA GRANDE,estado nutricional,l 9.1 talla normal,2011-11-01,78,71,47,43,35,24,160,138,298
PAPEL PAMPA,estado nutricional,l 9.1 talla normal,2011-11-01,32,22,32,21,25,36,89,79,168
PASORAPA,estado nutricional,l 9.1 talla normal,2011-11-01,32,44,20,19,57,25,109,88,197
PATACAMAYA,estado nutricional,l 9.1 talla normal,2011-11-01,182,166,100,102,72,87,354,355,709
PAZÑA,estado nutricional,l 9.1 talla normal,2011-11-01,68,61,42,47,82,87,192,195,387
PELECHUCO,estado nutricional,l 9.1 talla normal,2011-11-01,42,38,32,23,36,35,110,96,206
POCOATA,estado nutricional,l 9.1 talla normal,2011-11-01,152,153,155,137,125,139,432,429,861
POCONA,estado nutricional,l 9.1 talla normal,2011-11-01,100,96,85,91,63,58,248,245,493
POJO (CBBA),estado nutricional,l 9.1 talla normal,2011-11-01,152,134,87,96,97,100,336,330,666
POOPO,estado nutricional,l 9.1 talla normal,2011-11-01,35,39,28,36,32,37,95,112,207
PORCO,estado nutricional,l 9.1 talla normal,2011-11-01,123,109,48,60,104,96,275,265,540
POROMA,estado nutricional,l 9.1 talla normal,2011-11-01,154,157,115,120,157,175,426,452,878
PORONGO,estado nutricional,l 9.1 talla normal,2011-11-01,56,68,33,27,52,45,141,140,281
PORTACHUELO,estado nutricional,l 9.1 talla normal,2011-11-01,174,157,92,80,139,94,405,331,736
PORVENIR,estado nutricional,l 9.1 talla normal,2011-11-01,74,53,44,57,53,36,171,146,317
POSTRER VALLE,estado nutricional,l 9.1 talla normal,2011-11-01,13,20,10,12,13,24,36,56,92
POTOSI,estado nutricional,l 9.1 talla normal,2011-11-01,1055,1078,534,577,424,445,2013,2100,4113
PRESTO,estado nutricional,l 9.1 talla normal,2011-11-01,64,66,48,51,87,77,199,194,393
PUCARA,estado nutricional,l 9.1 talla normal,2011-11-01,10,19,9,16,14,14,33,49,82
PUCARANI,estado nutricional,l 9.1 talla normal,2011-11-01,264,263,192,208,219,231,675,702,1377
PUERTO ACOSTA,estado nutricional,l 9.1 talla normal,2011-11-01,52,51,49,54,33,38,134,143,277
PUERTO CARABUCO,estado nutricional,l 9.1 talla normal,2011-11-01,75,220,66,83,69,76,210,379,589
PUERTO GONZALO MORENO,estado nutricional,l 9.1 talla normal,2011-11-01,75,71,52,61,87,61,214,193,407
PUERTO PEREZ,estado nutricional,l 9.1 talla normal,2011-11-01,47,36,44,46,34,61,125,143,268
PUERTO QUIJARRO,estado nutricional,l 9.1 talla normal,2011-11-01,143,111,79,65,47,48,269,224,493
PUERTO RICO,estado nutricional,l 9.1 talla normal,2011-11-01,107,73,49,56,33,41,189,170,359
PUERTO SILES,estado nutricional,l 9.1 talla normal,2011-11-01,11,10,9,10,10,15,30,35,65
PUERTO SUAREZ,estado nutricional,l 9.1 talla normal,2011-11-01,115,127,56,49,31,25,202,201,403
PUERTO VILLARROEL,estado nutricional,l 9.1 talla normal,2011-11-01,628,547,430,347,356,314,1414,1208,2622
PUNA,estado nutricional,l 9.1 talla normal,2011-11-01,167,190,145,135,153,166,465,491,956
PUNATA,estado nutricional,l 9.1 talla normal,2011-11-01,245,223,153,130,123,146,521,499,1020
QUIABAYA,estado nutricional,l 9.1 talla normal,2011-11-01,13,11,8,7,23,12,44,30,74
QUILLACOLLO,estado nutricional,l 9.1 talla normal,2011-11-01,748,613,491,415,325,277,1564,1305,2869
QUIME,estado nutricional,l 9.1 talla normal,2011-11-01,78,101,49,46,98,58,225,205,430
QUIRUSILLAS,estado nutricional,l 9.1 talla normal,2011-11-01,13,12,8,7,7,9,28,28,56
RAVELO,estado nutricional,l 9.1 talla normal,2011-11-01,115,134,98,99,123,119,336,352,688
REYES,estado nutricional,l 9.1 talla normal,2011-11-01,102,111,74,65,65,70,241,246,487
RIBERALTA,estado nutricional,l 9.1 talla normal,2011-11-01,1454,1305,808,804,577,579,2839,2688,5527
ROBORE,estado nutricional,l 9.1 talla normal,2011-11-01,167,164,119,103,91,85,377,352,729
RURRENABAQUE,estado nutricional,l 9.1 talla normal,2011-11-01,136,138,68,76,37,38,241,252,493
SABAYA,estado nutricional,l 9.1 talla normal,2011-11-01,17,23,24,15,15,37,56,75,131
SACABA,estado nutricional,l 9.1 talla normal,2011-11-01,1328,1273,856,878,663,636,2847,2787,5634
SACABAMBA,estado nutricional,l 9.1 talla normal,2011-11-01,30,34,25,25,35,23,90,82,172
SACACA,estado nutricional,l 9.1 talla normal,2011-11-01,115,106,93,95,115,94,323,295,618
SAIPINA,estado nutricional,l 9.1 talla normal,2011-11-01,11,11,4,6,11,9,26,26,52
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.1 talla normal,2011-11-01,72,80,69,73,79,65,220,218,438
SAMAIPATA,estado nutricional,l 9.1 talla normal,2011-11-01,85,78,46,47,31,29,162,154,316
SAN AGUSTIN,estado nutricional,l 9.1 talla normal,2011-11-01,11,12,9,13,7,13,27,38,65
SAN ANDRES,estado nutricional,l 9.1 talla normal,2011-11-01,116,115,105,100,123,121,344,336,680
SAN ANDRES DE MACHACA,estado nutricional,l 9.1 talla normal,2011-11-01,20,21,16,19,20,26,56,66,122
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.1 talla normal,2011-11-01,12,12,5,10,18,13,35,35,70
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.1 talla normal,2011-11-01,58,61,30,42,90,98,178,201,379
SAN BENITO,estado nutricional,l 9.1 talla normal,2011-11-01,121,115,87,96,89,71,297,282,579
SAN BORJA,estado nutricional,l 9.1 talla normal,2011-11-01,451,366,294,302,319,327,1064,995,2059
SAN BUENA VENTURA,estado nutricional,l 9.1 talla normal,2011-11-01,108,89,68,71,66,57,242,217,459
SAN CARLOS,estado nutricional,l 9.1 talla normal,2011-11-01,253,228,175,162,170,142,598,532,1130
SAN IGNACIO,estado nutricional,l 9.1 talla normal,2011-11-01,341,315,264,272,397,389,1002,976,1978
SAN IGNACIO DE VELASCO,estado nutricional,l 9.1 talla normal,2011-11-01,833,701,461,405,503,497,1797,1603,3400
SAN JAVIER(BNI),estado nutricional,l 9.1 talla normal,2011-11-01,21,23,18,10,28,43,67,76,143
SAN JAVIER(STC),estado nutricional,l 9.1 talla normal,2011-11-01,122,124,62,60,97,87,281,271,552
SAN JOAQUIN,estado nutricional,l 9.1 talla normal,2011-11-01,58,48,28,29,33,23,119,100,219
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.1 talla normal,2011-11-01,145,134,95,76,53,69,293,279,572
SAN JUAN DE YAPACANI,estado nutricional,l 9.1 talla normal,2011-11-01,78,63,47,34,53,47,178,144,322
SAN JULIAN,estado nutricional,l 9.1 talla normal,2011-11-01,319,293,193,187,137,145,649,625,1274
SAN LORENZO(PND),estado nutricional,l 9.1 talla normal,2011-11-01,44,29,24,36,24,27,92,92,184
SAN LORENZO(TJA),estado nutricional,l 9.1 talla normal,2011-11-01,189,184,140,133,147,108,476,425,901
SAN LUCAS,estado nutricional,l 9.1 talla normal,2011-11-01,131,122,101,96,202,220,434,438,872
SAN MATIAS,estado nutricional,l 9.1 talla normal,2011-11-01,137,99,38,39,41,60,216,198,414
SAN MIGUEL DE VELASCO,estado nutricional,l 9.1 talla normal,2011-11-01,115,124,96,79,74,76,285,279,564
SAN PABLO DE LIPEZ,estado nutricional,l 9.1 talla normal,2011-11-01,19,18,11,10,12,11,42,39,81
SAN PEDRO,estado nutricional,l 9.1 talla normal,2011-11-01,167,138,117,110,100,80,384,328,712
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-11-01,213,204,181,170,128,121,522,495,1017
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.1 talla normal,2011-11-01,39,38,44,30,45,42,128,110,238
SAN PEDRO DE QUEMES,estado nutricional,l 9.1 talla normal,2011-11-01,3,1,0,3,3,8,6,12,18
SAN PEDRO DE TIQUINA,estado nutricional,l 9.1 talla normal,2011-11-01,25,22,19,22,28,33,72,77,149
SAN PEDRO(PND),estado nutricional,l 9.1 talla normal,2011-11-01,7,4,3,3,3,1,13,8,21
SAN RAFAEL,estado nutricional,l 9.1 talla normal,2011-11-01,65,58,42,48,54,49,161,155,316
SAN RAMON BENI,estado nutricional,l 9.1 talla normal,2011-11-01,30,36,23,24,32,22,85,82,167
SAN RAMON SCZ,estado nutricional,l 9.1 talla normal,2011-11-01,74,68,37,31,30,25,141,124,265
SANTA ANA,estado nutricional,l 9.1 talla normal,2011-11-01,188,171,110,96,93,89,391,356,747
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.1 talla normal,2011-11-01,6328,5697,3399,3183,3169,2836,12896,11716,24612
SANTA ROSA,estado nutricional,l 9.1 talla normal,2011-11-01,108,100,44,55,88,62,240,217,457
SANTA ROSA DEL SARA,estado nutricional,l 9.1 talla normal,2011-11-01,131,133,71,69,69,90,271,292,563
SANTIAGO DE CALLAPA,estado nutricional,l 9.1 talla normal,2011-11-01,28,29,25,29,9,20,62,78,140
SANTIAGO DE HUARI,estado nutricional,l 9.1 talla normal,2011-11-01,77,70,69,63,79,60,225,193,418
SANTIAGO DE HUATA,estado nutricional,l 9.1 talla normal,2011-11-01,37,52,30,30,21,15,88,97,185
SANTIAGO DE MACHACA,estado nutricional,l 9.1 talla normal,2011-11-01,29,21,17,25,27,37,73,83,156
SANTIVAÑES,estado nutricional,l 9.1 talla normal,2011-11-01,63,52,42,43,52,49,157,144,301
SANTUARIO DE QUILLACAS,estado nutricional,l 9.1 talla normal,2011-11-01,60,38,26,31,22,25,108,94,202
SAPAHAQUI,estado nutricional,l 9.1 talla normal,2011-11-01,76,39,45,66,42,30,163,135,298
SENA,estado nutricional,l 9.1 talla normal,2011-11-01,39,73,65,48,38,45,142,166,308
SHINAOTA,estado nutricional,l 9.1 talla normal,2011-11-01,383,289,206,212,225,216,814,717,1531
SICA SICA (VILLA AROMA),estado nutricional,l 9.1 talla normal,2011-11-01,174,125,115,129,120,129,409,383,792
SICAYA,estado nutricional,l 9.1 talla normal,2011-11-01,36,34,32,16,25,12,93,62,155
SIPE SIPE,estado nutricional,l 9.1 talla normal,2011-11-01,408,363,269,229,153,165,830,757,1587
SOPACHUY,estado nutricional,l 9.1 talla normal,2011-11-01,64,59,42,55,72,77,178,191,369
SORACACHI,estado nutricional,l 9.1 talla normal,2011-11-01,112,85,100,113,121,111,333,309,642
SORATA,estado nutricional,l 9.1 talla normal,2011-11-01,117,148,114,113,75,78,306,339,645
SUCRE,estado nutricional,l 9.1 talla normal,2011-11-01,3084,2813,2348,2105,2263,2201,7695,7119,14814
TACACHI,estado nutricional,l 9.1 talla normal,2011-11-01,4,6,6,8,6,4,16,18,34
TACACOMA,estado nutricional,l 9.1 talla normal,2011-11-01,57,49,39,32,67,44,163,125,288
TACOBAMBA,estado nutricional,l 9.1 talla normal,2011-11-01,78,74,65,51,70,79,213,204,417
TACOPAYA,estado nutricional,l 9.1 talla normal,2011-11-01,81,90,55,66,150,164,286,320,606
TAHUA,estado nutricional,l 9.1 talla normal,2011-11-01,5,6,4,9,1,5,10,20,30
TAPACARI,estado nutricional,l 9.1 talla normal,2011-11-01,219,185,161,144,145,117,525,446,971
TARABUCO,estado nutricional,l 9.1 talla normal,2011-11-01,116,128,105,135,198,194,419,457,876
TARACO,estado nutricional,l 9.1 talla normal,2011-11-01,39,21,32,19,19,24,90,64,154
TARATA,estado nutricional,l 9.1 talla normal,2011-11-01,66,101,63,63,43,39,172,203,375
TARIJA,estado nutricional,l 9.1 talla normal,2011-11-01,1295,1097,890,809,598,506,2783,2412,5195
TARVITA,estado nutricional,l 9.1 talla normal,2011-11-01,128,131,88,87,136,138,352,356,708
TEOPONTE,estado nutricional,l 9.1 talla normal,2011-11-01,120,100,64,60,104,84,288,244,532
TIAWANACU,estado nutricional,l 9.1 talla normal,2011-11-01,100,74,69,60,64,74,233,208,441
TINGUIPAYA,estado nutricional,l 9.1 talla normal,2011-11-01,91,89,67,74,52,45,210,208,418
TIPUANI,estado nutricional,l 9.1 talla normal,2011-11-01,125,83,109,63,92,100,326,246,572
TIQUIPAYA,estado nutricional,l 9.1 talla normal,2011-11-01,542,561,408,330,485,434,1435,1325,2760
TIRAQUE (CBBA),estado nutricional,l 9.1 talla normal,2011-11-01,185,187,158,139,71,73,414,399,813
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.1 talla normal,2011-11-01,4,8,5,8,6,9,15,25,40
TOCO,estado nutricional,l 9.1 talla normal,2011-11-01,45,29,25,36,33,34,103,99,202
TODOS SANTOS,estado nutricional,l 9.1 talla normal,2011-11-01,0,0,3,0,5,2,8,2,10
TOLATA,estado nutricional,l 9.1 talla normal,2011-11-01,55,64,40,38,38,24,133,126,259
TOLEDO,estado nutricional,l 9.1 talla normal,2011-11-01,33,31,47,34,27,39,107,104,211
TOMAVE,estado nutricional,l 9.1 talla normal,2011-11-01,70,73,50,57,44,43,164,173,337
TOMINA,estado nutricional,l 9.1 talla normal,2011-11-01,78,90,55,75,127,139,260,304,564
TORO TORO,estado nutricional,l 9.1 talla normal,2011-11-01,76,86,57,50,48,71,181,207,388
TOTORA(CBBA),estado nutricional,l 9.1 talla normal,2011-11-01,142,139,118,113,58,62,318,314,632
TOTORA(ORR),estado nutricional,l 9.1 talla normal,2011-11-01,46,38,43,37,49,46,138,121,259
TRIGAL,estado nutricional,l 9.1 talla normal,2011-11-01,12,21,11,13,16,11,39,45,84
TRINIDAD,estado nutricional,l 9.1 talla normal,2011-11-01,870,884,414,363,379,348,1663,1595,3258
TUPIZA,estado nutricional,l 9.1 talla normal,2011-11-01,292,241,186,191,251,248,729,680,1409
TURCO,estado nutricional,l 9.1 talla normal,2011-11-01,38,32,29,27,37,43,104,102,206
UMALA,estado nutricional,l 9.1 talla normal,2011-11-01,57,60,44,48,68,65,169,173,342
UNCIA,estado nutricional,l 9.1 talla normal,2011-11-01,138,154,139,97,81,92,358,343,701
URIONDO (A. CONCEPCION),estado nutricional,l 9.1 talla normal,2011-11-01,143,142,135,127,117,127,395,396,791
URUBICHA,estado nutricional,l 9.1 talla normal,2011-11-01,88,76,47,51,8,4,143,131,274
UYUNI,estado nutricional,l 9.1 talla normal,2011-11-01,170,179,108,127,73,82,351,388,739
VACAS,estado nutricional,l 9.1 talla normal,2011-11-01,68,81,63,60,37,53,168,194,362
VALLEGRANDE,estado nutricional,l 9.1 talla normal,2011-11-01,143,145,73,79,106,79,322,303,625
VIACHA,estado nutricional,l 9.1 talla normal,2011-11-01,471,437,354,342,327,321,1152,1100,2252
VILA VILA,estado nutricional,l 9.1 talla normal,2011-11-01,28,47,32,30,82,76,142,153,295
VILLA CHARCAS,estado nutricional,l 9.1 talla normal,2011-11-01,140,136,74,116,124,127,338,379,717
VILLA MONTES,estado nutricional,l 9.1 talla normal,2011-11-01,352,405,247,257,255,225,854,887,1741
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.1 talla normal,2011-11-01,42,55,24,27,39,60,105,142,247
VILLA RIVERO,estado nutricional,l 9.1 talla normal,2011-11-01,80,83,77,67,79,46,236,196,432
VILLA SERRANO,estado nutricional,l 9.1 talla normal,2011-11-01,111,96,97,96,161,157,369,349,718
VILLA TUNARI,estado nutricional,l 9.1 talla normal,2011-11-01,1060,929,754,674,745,714,2559,2317,4876
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.1 talla normal,2011-11-01,82,86,69,65,122,124,273,275,548
VILLAZON,estado nutricional,l 9.1 talla normal,2011-11-01,320,303,251,288,192,196,763,787,1550
VINTO,estado nutricional,l 9.1 talla normal,2011-11-01,388,301,202,141,141,123,731,565,1296
VITICHI,estado nutricional,l 9.1 talla normal,2011-11-01,71,87,68,57,63,83,202,227,429
WALDO BALLIVIAN,estado nutricional,l 9.1 talla normal,2011-11-01,17,18,8,9,10,9,35,36,71
WARNES,estado nutricional,l 9.1 talla normal,2011-11-01,417,315,211,199,272,299,900,813,1713
YACO,estado nutricional,l 9.1 talla normal,2011-11-01,64,59,44,54,38,50,146,163,309
YACUIBA,estado nutricional,l 9.1 talla normal,2011-11-01,693,619,463,435,407,385,1563,1439,3002
YAMPARAEZ,estado nutricional,l 9.1 talla normal,2011-11-01,42,52,43,34,84,83,169,169,338
YANACACHI,estado nutricional,l 9.1 talla normal,2011-11-01,71,50,55,48,52,69,178,167,345
YAPACANI,estado nutricional,l 9.1 talla normal,2011-11-01,716,398,279,279,196,231,1191,908,2099
YOCALLA,estado nutricional,l 9.1 talla normal,2011-11-01,71,64,60,57,47,47,178,168,346
YOTALA,estado nutricional,l 9.1 talla normal,2011-11-01,62,63,53,51,99,106,214,220,434
YUNCHARA,estado nutricional,l 9.1 talla normal,2011-11-01,35,43,37,43,121,72,193,158,351
YUNGUYO DE LITORAL,estado nutricional,l 9.1 talla normal,2011-11-01,1,2,0,0,0,2,1,4,5
ZUDAÑEZ,estado nutricional,l 9.1 talla normal,2011-11-01,54,41,34,46,94,100,182,187,369
ACACIO,estado nutricional,l 9.1 talla normal,2011-12-01,51,42,27,42,27,30,105,114,219
ACHACACHI,estado nutricional,l 9.1 talla normal,2011-12-01,261,202,187,171,150,103,598,476,1074
ACHOCALLA,estado nutricional,l 9.1 talla normal,2011-12-01,29,26,17,12,14,17,60,55,115
AIQUILE,estado nutricional,l 9.1 talla normal,2011-12-01,209,212,159,131,90,92,458,435,893
ALALAY,estado nutricional,l 9.1 talla normal,2011-12-01,24,14,25,17,28,15,77,46,123
ALCALA,estado nutricional,l 9.1 talla normal,2011-12-01,24,26,19,23,42,44,85,93,178
ALTO BENI,estado nutricional,l 9.1 talla normal,2011-12-01,89,71,59,47,56,42,204,160,364
ANCORAIMES,estado nutricional,l 9.1 talla normal,2011-12-01,66,72,48,69,50,64,164,205,369
ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-12-01,17,17,11,29,44,37,72,83,155
ANTEQUERA,estado nutricional,l 9.1 talla normal,2011-12-01,30,15,12,21,24,25,66,61,127
ANZALDO,estado nutricional,l 9.1 talla normal,2011-12-01,55,45,46,62,33,31,134,138,272
APOLO,estado nutricional,l 9.1 talla normal,2011-12-01,147,151,84,85,99,96,330,332,662
ARAMPAMPA,estado nutricional,l 9.1 talla normal,2011-12-01,24,36,24,27,28,28,76,91,167
ARANI,estado nutricional,l 9.1 talla normal,2011-12-01,129,105,93,86,57,49,279,240,519
ARBIETO,estado nutricional,l 9.1 talla normal,2011-12-01,103,120,79,66,83,88,265,274,539
ARQUE,estado nutricional,l 9.1 talla normal,2011-12-01,157,118,62,84,69,63,288,265,553
ASCENCION DE GUARAYOS,estado nutricional,l 9.1 talla normal,2011-12-01,232,257,104,97,72,69,408,423,831
ATOCHA,estado nutricional,l 9.1 talla normal,2011-12-01,88,82,50,57,55,53,193,192,385
AUCAPATA,estado nutricional,l 9.1 talla normal,2011-12-01,28,45,21,24,25,16,74,85,159
AYATA,estado nutricional,l 9.1 talla normal,2011-12-01,84,65,37,50,26,25,147,140,287
AYO AYO,estado nutricional,l 9.1 talla normal,2011-12-01,53,48,33,37,16,15,102,100,202
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.1 talla normal,2011-12-01,241,202,138,137,154,142,533,481,1014
AZURDUY,estado nutricional,l 9.1 talla normal,2011-12-01,83,88,60,72,77,69,220,229,449
BATALLAS,estado nutricional,l 9.1 talla normal,2011-12-01,114,107,63,71,65,73,242,251,493
BAURES,estado nutricional,l 9.1 talla normal,2011-12-01,35,33,16,23,34,24,85,80,165
BELEN DE ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-12-01,10,6,9,14,11,11,30,31,61
BELEN DE URMIRI,estado nutricional,l 9.1 talla normal,2011-12-01,9,19,5,7,15,8,29,34,63
BELLA FLOR,estado nutricional,l 9.1 talla normal,2011-12-01,11,18,25,20,9,15,45,53,98
BERMEJO,estado nutricional,l 9.1 talla normal,2011-12-01,250,206,167,161,78,99,495,466,961
BETANZOS,estado nutricional,l 9.1 talla normal,2011-12-01,207,236,193,210,216,194,616,640,1256
BOLIVAR,estado nutricional,l 9.1 talla normal,2011-12-01,40,37,35,47,48,44,123,128,251
BOLPEBRA,estado nutricional,l 9.1 talla normal,2011-12-01,13,12,8,13,7,7,28,32,60
BOYUIBE,estado nutricional,l 9.1 talla normal,2011-12-01,37,25,28,19,50,53,115,97,212
BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-12-01,100,90,76,46,41,51,217,187,404
CABEZAS,estado nutricional,l 9.1 talla normal,2011-12-01,166,128,111,86,101,67,378,281,659
CAIROMA,estado nutricional,l 9.1 talla normal,2011-12-01,78,76,55,55,49,67,182,198,380
"CAIZA ""D""",estado nutricional,l 9.1 talla normal,2011-12-01,83,77,89,77,38,56,210,210,420
CAJUATA,estado nutricional,l 9.1 talla normal,2011-12-01,73,65,60,42,32,23,165,130,295
CALACOTO,estado nutricional,l 9.1 talla normal,2011-12-01,31,33,30,31,22,20,83,84,167
CALAMARCA,estado nutricional,l 9.1 talla normal,2011-12-01,87,94,69,77,53,77,209,248,457
