municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
UYUNI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,18,18
VALLEGRANDE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
VIACHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
VILLA MONTES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,4,4
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,20,20
VILLAZON,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,7,7
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,9,9
YAMPARAEZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-11-01,33,33
ACHOCALLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,3,3
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,3,3
BATALLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,5,5
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,8,8
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
CAPINOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
CARAPARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,10,10
CHARAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
COLLANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,3,3
COLPA BELGICA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
COMANCHE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
CONCEPCION,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,6,6
COPACABANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
CORO CORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,3,3
COTAGAITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,8,8
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,19,19
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,22,22
CULPINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,10,10
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,49,49
EL CHORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,3,3
EUCALIPTUS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,5,5
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
HUATAJATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
ICHOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,5,5
INCAHUASI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,6,6
IXIAMAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,39,39
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,40,40
LAJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,5,5
LURIBAY,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,6,6
MINEROS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,6,6
MONTEAGUDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
MOROCHATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,15,15
OMEREQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,11,11
ORURO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
PADCAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,2,2
PASORAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,4,4
POCOATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,5,5
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,5,5
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,5,5
POOPO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,3,3
PORCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-12-01,1,1
