,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-11-01,9,14,9,14,23
ANTEQUERA,atencion odontologica, cirugia bucal menor,2014-11-01,0,3,0,3,3
ANZALDO,atencion odontologica, cirugia bucal menor,2014-11-01,11,28,11,28,39
APOLO,atencion odontologica, cirugia bucal menor,2014-11-01,11,19,11,19,30
ARAMPAMPA,atencion odontologica, cirugia bucal menor,2014-11-01,4,3,4,3,7
ARANI,atencion odontologica, cirugia bucal menor,2014-11-01,10,25,10,25,35
ARBIETO,atencion odontologica, cirugia bucal menor,2014-11-01,2,7,2,7,9
ARQUE,atencion odontologica, cirugia bucal menor,2014-11-01,35,19,35,19,54
ATOCHA,atencion odontologica, cirugia bucal menor,2014-11-01,53,44,53,44,97
AYATA,atencion odontologica, cirugia bucal menor,2014-11-01,11,27,11,27,38
AYO AYO,atencion odontologica, cirugia bucal menor,2014-11-01,8,8,8,8,16
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, cirugia bucal menor,2014-11-01,31,31,31,31,62
AZURDUY,atencion odontologica, cirugia bucal menor,2014-11-01,2,26,2,26,28
BATALLAS,atencion odontologica, cirugia bucal menor,2014-11-01,23,28,23,28,51
BAURES,atencion odontologica, cirugia bucal menor,2014-11-01,4,5,4,5,9
BELEN DE ANDAMARCA,atencion odontologica, cirugia bucal menor,2014-11-01,2,2,2,2,4
BELLA FLOR,atencion odontologica, cirugia bucal menor,2014-11-01,3,2,3,2,5
BERMEJO,atencion odontologica, cirugia bucal menor,2014-11-01,71,122,71,122,193
BETANZOS,atencion odontologica, cirugia bucal menor,2014-11-01,33,27,33,27,60
BOLIVAR,atencion odontologica, cirugia bucal menor,2014-11-01,12,16,12,16,28
BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-11-01,2,2,2,2,4
CABEZAS,atencion odontologica, cirugia bucal menor,2014-11-01,3,3,3,3,6
CAIROMA,atencion odontologica, cirugia bucal menor,2014-11-01,9,15,9,15,24
"CAIZA ""D""",atencion odontologica, cirugia bucal menor,2014-11-01,29,35,29,35,64
CAJUATA,atencion odontologica, cirugia bucal menor,2014-11-01,32,37,32,37,69
CALAMARCA,atencion odontologica, cirugia bucal menor,2014-11-01,12,7,12,7,19
CAMARGO,atencion odontologica, cirugia bucal menor,2014-11-01,10,26,10,26,36
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, cirugia bucal menor,2014-11-01,3,2,3,2,5
CAMIRI,atencion odontologica, cirugia bucal menor,2014-11-01,7,17,7,17,24
CAPINOTA,atencion odontologica, cirugia bucal menor,2014-11-01,17,15,17,15,32
CAQUIAVIRI,atencion odontologica, cirugia bucal menor,2014-11-01,25,27,25,27,52
CARACOLLO,atencion odontologica, cirugia bucal menor,2014-11-01,43,84,43,84,127
CARANAVI,atencion odontologica, cirugia bucal menor,2014-11-01,0,3,0,3,3
CARAPARI,atencion odontologica, cirugia bucal menor,2014-11-01,22,74,22,74,96
CARIPUYO,atencion odontologica, cirugia bucal menor,2014-11-01,16,19,16,19,35
CARMEN RIVERO TORREZ,atencion odontologica, cirugia bucal menor,2014-11-01,78,103,78,103,181
CATACORA,atencion odontologica, cirugia bucal menor,2014-11-01,5,10,5,10,15
CHALLAPATA,atencion odontologica, cirugia bucal menor,2014-11-01,42,33,42,33,75
CHAQUI,atencion odontologica, cirugia bucal menor,2014-11-01,0,2,0,2,2
CHARAGUA,atencion odontologica, cirugia bucal menor,2014-11-01,13,25,13,25,38
CHARAÑA,atencion odontologica, cirugia bucal menor,2014-11-01,3,7,3,7,10
CHAYANTA,atencion odontologica, cirugia bucal menor,2014-11-01,15,35,15,35,50
CHIMORE,atencion odontologica, cirugia bucal menor,2014-11-01,8,15,8,15,23
CHIPAYA,atencion odontologica, cirugia bucal menor,2014-11-01,1,3,1,3,4
CHOQUE COTA,atencion odontologica, cirugia bucal menor,2014-11-01,8,8,8,8,16
CHUMA,atencion odontologica, cirugia bucal menor,2014-11-01,53,67,53,67,120
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, cirugia bucal menor,2014-11-01,16,16,16,16,32
CKOCHAS,atencion odontologica, cirugia bucal menor,2014-11-01,8,16,8,16,24
CLIZA,atencion odontologica, cirugia bucal menor,2014-11-01,18,23,18,23,41
COBIJA,atencion odontologica, cirugia bucal menor,2014-11-01,108,55,108,55,163
COCAPATA,atencion odontologica, cirugia bucal menor,2014-11-01,14,83,14,83,97
COCHABAMBA,atencion odontologica, cirugia bucal menor,2014-11-01,177,258,177,258,435
COLCAPIRHUA,atencion odontologica, cirugia bucal menor,2014-11-01,6,12,6,12,18
"COLCHA ""K""",atencion odontologica, cirugia bucal menor,2014-11-01,6,8,6,8,14
COLOMI,atencion odontologica, cirugia bucal menor,2014-11-01,6,15,6,15,21
COLPA BELGICA,atencion odontologica, cirugia bucal menor,2014-11-01,6,7,6,7,13
COLQUECHACA,atencion odontologica, cirugia bucal menor,2014-11-01,38,49,38,49,87
COLQUENCHA,atencion odontologica, cirugia bucal menor,2014-11-01,28,40,28,40,68
COLQUIRI,atencion odontologica, cirugia bucal menor,2014-11-01,59,68,59,68,127
COMANCHE,atencion odontologica, cirugia bucal menor,2014-11-01,14,8,14,8,22
COMARAPA,atencion odontologica, cirugia bucal menor,2014-11-01,2,2,2,2,4
COMBAYA,atencion odontologica, cirugia bucal menor,2014-11-01,7,10,7,10,17
COPACABANA,atencion odontologica, cirugia bucal menor,2014-11-01,15,38,15,38,53
CORIPATA,atencion odontologica, cirugia bucal menor,2014-11-01,0,7,0,7,7
CORO CORO,atencion odontologica, cirugia bucal menor,2014-11-01,8,24,8,24,32
COROICO,atencion odontologica, cirugia bucal menor,2014-11-01,22,70,22,70,92
CORQUE,atencion odontologica, cirugia bucal menor,2014-11-01,13,18,13,18,31
COTAGAITA,atencion odontologica, cirugia bucal menor,2014-11-01,15,28,15,28,43
COTOCA,atencion odontologica, cirugia bucal menor,2014-11-01,15,17,15,17,32
CUATRO CAÑADAS,atencion odontologica, cirugia bucal menor,2014-11-01,24,36,24,36,60
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica, cirugia bucal menor,2014-11-01,3,3,3,3,6
CULPINA,atencion odontologica, cirugia bucal menor,2014-11-01,27,30,27,30,57
CURAHUARA DE CARANGAS,atencion odontologica, cirugia bucal menor,2014-11-01,1,2,1,2,3
CURVA,atencion odontologica, cirugia bucal menor,2014-11-01,9,7,9,7,16
EL ALTO,atencion odontologica, cirugia bucal menor,2014-11-01,644,830,644,830,1474
EL CHORO,atencion odontologica, cirugia bucal menor,2014-11-01,3,1,3,1,4
EL PUENTE(STC),atencion odontologica, cirugia bucal menor,2014-11-01,9,15,9,15,24
EL PUENTE(TJA),atencion odontologica, cirugia bucal menor,2014-11-01,28,33,28,33,61
EL TORNO,atencion odontologica, cirugia bucal menor,2014-11-01,52,68,52,68,120
EL VILLAR,atencion odontologica, cirugia bucal menor,2014-11-01,23,14,23,14,37
ENTRE RIOS TRJ,atencion odontologica, cirugia bucal menor,2014-11-01,24,45,24,45,69
ENTRE RIOS CBBA,atencion odontologica, cirugia bucal menor,2014-11-01,5,5,5,5,10
ESCOMA,atencion odontologica, cirugia bucal menor,2014-11-01,11,12,11,12,23
EUCALIPTUS,atencion odontologica, cirugia bucal menor,2014-11-01,20,24,20,24,44
FILADELFIA,atencion odontologica, cirugia bucal menor,2014-11-01,2,1,2,1,3
GENERAL SAAVEDRA,atencion odontologica, cirugia bucal menor,2014-11-01,5,4,5,4,9
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, cirugia bucal menor,2014-11-01,52,56,52,56,108
GUANAY,atencion odontologica, cirugia bucal menor,2014-11-01,27,32,27,32,59
GUAQUI,atencion odontologica, cirugia bucal menor,2014-11-01,9,1,9,1,10
GUAYARAMERIN,atencion odontologica, cirugia bucal menor,2014-11-01,22,23,22,23,45
GUTIERREZ,atencion odontologica, cirugia bucal menor,2014-11-01,16,16,16,16,32
HUACARETA,atencion odontologica, cirugia bucal menor,2014-11-01,2,6,2,6,8
HUACAYA (VILLA DE HUACAYA),atencion odontologica, cirugia bucal menor,2014-11-01,5,15,5,15,20
HUANUNI,atencion odontologica, cirugia bucal menor,2014-11-01,2,5,2,5,7
HUATAJATA,atencion odontologica, cirugia bucal menor,2014-11-01,25,26,25,26,51
HUAYLLAMARCA,atencion odontologica, cirugia bucal menor,2014-11-01,12,16,12,16,28
HUMANATA,atencion odontologica, cirugia bucal menor,2014-11-01,34,28,34,28,62
ICHOCA,atencion odontologica, cirugia bucal menor,2014-11-01,1,3,1,3,4
ICLA,atencion odontologica, cirugia bucal menor,2014-11-01,21,36,21,36,57
INCAHUASI,atencion odontologica, cirugia bucal menor,2014-11-01,14,24,14,24,38
INQUISIVI,atencion odontologica, cirugia bucal menor,2014-11-01,30,55,30,55,85
IRUPANA (VILLA DE LANZA),atencion odontologica, cirugia bucal menor,2014-11-01,27,29,27,29,56
JESUS DE MACHACA,atencion odontologica, cirugia bucal menor,2014-11-01,25,78,25,78,103
LA ASUNTA,atencion odontologica, cirugia bucal menor,2014-11-01,14,21,14,21,35
LA GUARDIA,atencion odontologica, cirugia bucal menor,2014-11-01,28,20,28,20,48
LA PAZ,atencion odontologica, cirugia bucal menor,2014-11-01,365,573,365,573,938
LAJA,atencion odontologica, cirugia bucal menor,2014-11-01,5,5,5,5,10
LAS CARRERAS,atencion odontologica, cirugia bucal menor,2014-11-01,11,19,11,19,30
LICOMA PAMPA,atencion odontologica, cirugia bucal menor,2014-11-01,5,13,5,13,18
LLALLAGUA,atencion odontologica, cirugia bucal menor,2014-11-01,43,43,43,43,86
LLICA,atencion odontologica, cirugia bucal menor,2014-11-01,15,37,15,37,52
LORETO,atencion odontologica, cirugia bucal menor,2014-11-01,5,5,5,5,10
LURIBAY,atencion odontologica, cirugia bucal menor,2014-11-01,11,23,11,23,34
MACHACAMARCA,atencion odontologica, cirugia bucal menor,2014-11-01,1,2,1,2,3
MACHARETI,atencion odontologica, cirugia bucal menor,2014-11-01,5,17,5,17,22
MAGDALENA,atencion odontologica, cirugia bucal menor,2014-11-01,3,4,3,4,7
MAIRANA,atencion odontologica, cirugia bucal menor,2014-11-01,3,3,3,3,6
MAPIRI,atencion odontologica, cirugia bucal menor,2014-11-01,23,19,23,19,42
MECAPACA,atencion odontologica, cirugia bucal menor,2014-11-01,15,12,15,12,27
MINEROS,atencion odontologica, cirugia bucal menor,2014-11-01,17,7,17,7,24
MIZQUE,atencion odontologica, cirugia bucal menor,2014-11-01,5,8,5,8,13
MOCOMOCO,atencion odontologica, cirugia bucal menor,2014-11-01,4,5,4,5,9
MOJOCOYA,atencion odontologica, cirugia bucal menor,2014-11-01,15,25,15,25,40
MONTEAGUDO,atencion odontologica, cirugia bucal menor,2014-11-01,15,46,15,46,61
MONTERO,atencion odontologica, cirugia bucal menor,2014-11-01,73,105,73,105,178
MORO MORO,atencion odontologica, cirugia bucal menor,2014-11-01,3,0,3,0,3
MOROCHATA,atencion odontologica, cirugia bucal menor,2014-11-01,17,15,17,15,32
OCURI,atencion odontologica, cirugia bucal menor,2014-11-01,13,23,13,23,36
ORURO,atencion odontologica, cirugia bucal menor,2014-11-01,203,277,203,277,480
PADCAYA,atencion odontologica, cirugia bucal menor,2014-11-01,28,46,28,46,74
PADILLA,atencion odontologica, cirugia bucal menor,2014-11-01,30,59,30,59,89
PAILON,atencion odontologica, cirugia bucal menor,2014-11-01,27,40,27,40,67
PALCA,atencion odontologica, cirugia bucal menor,2014-11-01,31,31,31,31,62
PALOS BLANCOS,atencion odontologica, cirugia bucal menor,2014-11-01,16,25,16,25,41
PAMPA AULLAGAS,atencion odontologica, cirugia bucal menor,2014-11-01,2,2,2,2,4
PAMPA GRANDE,atencion odontologica, cirugia bucal menor,2014-11-01,2,7,2,7,9
PAPEL PAMPA,atencion odontologica, cirugia bucal menor,2014-11-01,12,16,12,16,28
PATACAMAYA,atencion odontologica, cirugia bucal menor,2014-11-01,7,12,7,12,19
PAZÑA,atencion odontologica, cirugia bucal menor,2014-11-01,10,8,10,8,18
PELECHUCO,atencion odontologica, cirugia bucal menor,2014-11-01,15,22,15,22,37
POCOATA,atencion odontologica, cirugia bucal menor,2014-11-01,18,30,18,30,48
POCONA,atencion odontologica, cirugia bucal menor,2014-11-01,5,7,5,7,12
POJO (CBBA),atencion odontologica, cirugia bucal menor,2014-11-01,25,28,25,28,53
POOPO,atencion odontologica, cirugia bucal menor,2014-11-01,8,22,8,22,30
PORCO,atencion odontologica, cirugia bucal menor,2014-11-01,13,23,13,23,36
POROMA,atencion odontologica, cirugia bucal menor,2014-11-01,18,43,18,43,61
PORONGO,atencion odontologica, cirugia bucal menor,2014-11-01,4,18,4,18,22
PORTACHUELO,atencion odontologica, cirugia bucal menor,2014-11-01,23,48,23,48,71
PORVENIR,atencion odontologica, cirugia bucal menor,2014-11-01,18,18,18,18,36
POSTRER VALLE,atencion odontologica, cirugia bucal menor,2014-11-01,6,9,6,9,15
POTOSI,atencion odontologica, cirugia bucal menor,2014-11-01,69,121,69,121,190
PRESTO,atencion odontologica, cirugia bucal menor,2014-11-01,69,72,69,72,141
PUCARA,atencion odontologica, cirugia bucal menor,2014-11-01,4,5,4,5,9
PUCARANI,atencion odontologica, cirugia bucal menor,2014-11-01,47,69,47,69,116
PUERTO ACOSTA,atencion odontologica, cirugia bucal menor,2014-11-01,49,77,49,77,126
PUERTO CARABUCO,atencion odontologica, cirugia bucal menor,2014-11-01,1,3,1,3,4
PUERTO GONZALO MORENO,atencion odontologica, cirugia bucal menor,2014-11-01,1,10,1,10,11
PUERTO PEREZ,atencion odontologica, cirugia bucal menor,2014-11-01,3,6,3,6,9
PUERTO QUIJARRO,atencion odontologica, cirugia bucal menor,2014-11-01,24,7,24,7,31
PUERTO RICO,atencion odontologica, cirugia bucal menor,2014-11-01,20,12,20,12,32
PUERTO SILES,atencion odontologica, cirugia bucal menor,2014-11-01,11,7,11,7,18
PUERTO VILLARROEL,atencion odontologica, cirugia bucal menor,2014-11-01,13,29,13,29,42
PUNA,atencion odontologica, cirugia bucal menor,2014-11-01,38,15,38,15,53
PUNATA,atencion odontologica, cirugia bucal menor,2014-11-01,30,51,30,51,81
QUIABAYA,atencion odontologica, cirugia bucal menor,2014-11-01,33,44,33,44,77
QUILLACOLLO,atencion odontologica, cirugia bucal menor,2014-11-01,77,65,77,65,142
QUIME,atencion odontologica, cirugia bucal menor,2014-11-01,52,55,52,55,107
RAVELO,atencion odontologica, cirugia bucal menor,2014-11-01,7,18,7,18,25
REYES,atencion odontologica, cirugia bucal menor,2014-11-01,7,15,7,15,22
RIBERALTA,atencion odontologica, cirugia bucal menor,2014-11-01,79,210,79,210,289
ROBORE,atencion odontologica, cirugia bucal menor,2014-11-01,11,28,11,28,39
SABAYA,atencion odontologica, cirugia bucal menor,2014-11-01,4,8,4,8,12
SACABA,atencion odontologica, cirugia bucal menor,2014-11-01,89,114,89,114,203
SACABAMBA,atencion odontologica, cirugia bucal menor,2014-11-01,0,1,0,1,1
SACACA,atencion odontologica, cirugia bucal menor,2014-11-01,2,8,2,8,10
SALINAS DE GARCI MENDOZA,atencion odontologica, cirugia bucal menor,2014-11-01,11,5,11,5,16
SAMAIPATA,atencion odontologica, cirugia bucal menor,2014-11-01,12,15,12,15,27
SAN AGUSTIN,atencion odontologica, cirugia bucal menor,2014-11-01,2,0,2,0,2
SAN ANDRES,atencion odontologica, cirugia bucal menor,2014-11-01,13,16,13,16,29
SAN ANDRES DE MACHACA,atencion odontologica, cirugia bucal menor,2014-11-01,15,21,15,21,36
SAN ANTONIO DE ESMORUCO,atencion odontologica, cirugia bucal menor,2014-11-01,7,1,7,1,8
SAN ANTONIO DE LOMERIO,atencion odontologica, cirugia bucal menor,2014-11-01,8,8,8,8,16
SAN BENITO,atencion odontologica, cirugia bucal menor,2014-11-01,1,1,1,1,2
SAN BORJA,atencion odontologica, cirugia bucal menor,2014-11-01,25,35,25,35,60
SAN BUENA VENTURA,atencion odontologica, cirugia bucal menor,2014-11-01,3,4,3,4,7
SAN CARLOS,atencion odontologica, cirugia bucal menor,2014-11-01,16,34,16,34,50
SAN IGNACIO,atencion odontologica, cirugia bucal menor,2014-11-01,51,46,51,46,97
SAN IGNACIO DE VELASCO,atencion odontologica, cirugia bucal menor,2014-11-01,4,1,4,1,5
SAN JOSE DE CHIQUITOS,atencion odontologica, cirugia bucal menor,2014-11-01,14,23,14,23,37
SAN JUAN DE YAPACANI,atencion odontologica, cirugia bucal menor,2014-11-01,1,2,1,2,3
SAN JULIAN,atencion odontologica, cirugia bucal menor,2014-11-01,11,1,11,1,12
SAN LORENZO(PND),atencion odontologica, cirugia bucal menor,2014-11-01,8,11,8,11,19
SAN LORENZO(TJA),atencion odontologica, cirugia bucal menor,2014-11-01,101,183,101,183,284
SAN LUCAS,atencion odontologica, cirugia bucal menor,2014-11-01,15,41,15,41,56
SAN MATIAS,atencion odontologica, cirugia bucal menor,2014-11-01,19,26,19,26,45
SAN MIGUEL DE VELASCO,atencion odontologica, cirugia bucal menor,2014-11-01,0,9,0,9,9
SAN PABLO DE LIPEZ,atencion odontologica, cirugia bucal menor,2014-11-01,5,100,5,100,105
SAN PEDRO,atencion odontologica, cirugia bucal menor,2014-11-01,23,36,23,36,59
SAN PEDRO DE BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-11-01,10,24,10,24,34
SAN PEDRO DE QUEMES,atencion odontologica, cirugia bucal menor,2014-11-01,4,4,4,4,8
SAN PEDRO DE TIQUINA,atencion odontologica, cirugia bucal menor,2014-11-01,18,12,18,12,30
SANTA ANA,atencion odontologica, cirugia bucal menor,2014-11-01,31,42,31,42,73
SANTA CRUZ DE LA SIERRA,atencion odontologica, cirugia bucal menor,2014-11-01,258,270,258,270,528
SANTA ROSA,atencion odontologica, cirugia bucal menor,2014-11-01,5,10,5,10,15
SANTA ROSA DEL SARA,atencion odontologica, cirugia bucal menor,2014-11-01,31,34,31,34,65
SANTIAGO DE CALLAPA,atencion odontologica, cirugia bucal menor,2014-11-01,10,15,10,15,25
SANTIAGO DE HUARI,atencion odontologica, cirugia bucal menor,2014-11-01,14,8,14,8,22
SANTIAGO DE HUATA,atencion odontologica, cirugia bucal menor,2014-11-01,28,41,28,41,69
SANTIVAÑES,atencion odontologica, cirugia bucal menor,2014-11-01,0,5,0,5,5
SANTUARIO DE QUILLACAS,atencion odontologica, cirugia bucal menor,2014-11-01,4,5,4,5,9
SAPAHAQUI,atencion odontologica, cirugia bucal menor,2014-11-01,6,11,6,11,17
SENA,atencion odontologica, cirugia bucal menor,2014-11-01,1,0,1,0,1
SHINAOTA,atencion odontologica, cirugia bucal menor,2014-11-01,5,2,5,2,7
SICA SICA (VILLA AROMA),atencion odontologica, cirugia bucal menor,2014-11-01,12,21,12,21,33
SICAYA,atencion odontologica, cirugia bucal menor,2014-11-01,7,4,7,4,11
SIPE SIPE,atencion odontologica, cirugia bucal menor,2014-11-01,14,14,14,14,28
SOPACHUY,atencion odontologica, cirugia bucal menor,2014-11-01,7,13,7,13,20
SORACACHI,atencion odontologica, cirugia bucal menor,2014-11-01,17,11,17,11,28
SORATA,atencion odontologica, cirugia bucal menor,2014-11-01,17,27,17,27,44
SUCRE,atencion odontologica, cirugia bucal menor,2014-11-01,332,506,332,506,838
TACACHI,atencion odontologica, cirugia bucal menor,2014-11-01,2,0,2,0,2
TACACOMA,atencion odontologica, cirugia bucal menor,2014-11-01,26,27,26,27,53
TACOBAMBA,atencion odontologica, cirugia bucal menor,2014-11-01,1,2,1,2,3
TACOPAYA,atencion odontologica, cirugia bucal menor,2014-11-01,8,9,8,9,17
TAHUA,atencion odontologica, cirugia bucal menor,2014-11-01,2,6,2,6,8
TAPACARI,atencion odontologica, cirugia bucal menor,2014-11-01,17,25,17,25,42
TARABUCO,atencion odontologica, cirugia bucal menor,2014-11-01,22,30,22,30,52
TARACO,atencion odontologica, cirugia bucal menor,2014-11-01,22,18,22,18,40
TARIJA,atencion odontologica, cirugia bucal menor,2014-11-01,283,442,283,442,725
TARVITA,atencion odontologica, cirugia bucal menor,2014-11-01,14,39,14,39,53
TEOPONTE,atencion odontologica, cirugia bucal menor,2014-11-01,30,41,30,41,71
TINGUIPAYA,atencion odontologica, cirugia bucal menor,2014-11-01,35,99,35,99,134
TIQUIPAYA,atencion odontologica, cirugia bucal menor,2014-11-01,28,45,28,45,73
TIRAQUE (CBBA),atencion odontologica, cirugia bucal menor,2014-11-01,0,2,0,2,2
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, cirugia bucal menor,2014-11-01,7,11,7,11,18
TOCO,atencion odontologica, cirugia bucal menor,2014-11-01,5,16,5,16,21
TOLATA,atencion odontologica, cirugia bucal menor,2014-11-01,10,11,10,11,21
TOLEDO,atencion odontologica, cirugia bucal menor,2014-11-01,4,2,4,2,6
TOMAVE,atencion odontologica, cirugia bucal menor,2014-11-01,21,32,21,32,53
TOMINA,atencion odontologica, cirugia bucal menor,2014-11-01,18,32,18,32,50
TORO TORO,atencion odontologica, cirugia bucal menor,2014-11-01,5,10,5,10,15
TOTORA(CBBA),atencion odontologica, cirugia bucal menor,2014-11-01,18,32,18,32,50
TOTORA(ORR),atencion odontologica, cirugia bucal menor,2014-11-01,5,24,5,24,29
TRIGAL,atencion odontologica, cirugia bucal menor,2014-11-01,2,2,2,2,4
TRINIDAD,atencion odontologica, cirugia bucal menor,2014-11-01,62,74,62,74,136
TUPIZA,atencion odontologica, cirugia bucal menor,2014-11-01,29,67,29,67,96
TURCO,atencion odontologica, cirugia bucal menor,2014-11-01,4,2,4,2,6
UMALA,atencion odontologica, cirugia bucal menor,2014-11-01,16,25,16,25,41
UNCIA,atencion odontologica, cirugia bucal menor,2014-11-01,25,53,25,53,78
URIONDO (A. CONCEPCION),atencion odontologica, cirugia bucal menor,2014-11-01,53,92,53,92,145
URUBICHA,atencion odontologica, cirugia bucal menor,2014-11-01,1,2,1,2,3
UYUNI,atencion odontologica, cirugia bucal menor,2014-11-01,3,3,3,3,6
VACAS,atencion odontologica, cirugia bucal menor,2014-11-01,7,27,7,27,34
VALLEGRANDE,atencion odontologica, cirugia bucal menor,2014-11-01,41,54,41,54,95
VIACHA,atencion odontologica, cirugia bucal menor,2014-11-01,33,56,33,56,89
VILA VILA,atencion odontologica, cirugia bucal menor,2014-11-01,2,6,2,6,8
VILLA CHARCAS,atencion odontologica, cirugia bucal menor,2014-11-01,10,20,10,20,30
