,group,variable,month,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTAL 310 ACCIONES PREVENTIVAS DENTRO DEL ESTABLECIMIENTO CANTIDAD,TOTALES,TOTALES,TOTALES
JESUS DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,5,4,5,9
LA ASUNTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,10,10,10,10,20
LA GUARDIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,223,254,223,254,477
LA PAZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1215,1233,1215,1233,2448
LAJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,31,19,31,19,50
LAS CARRERAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,3,4,3,7
LICOMA PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,11,4,11,15
LLALLAGUA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,114,149,114,149,263
LLICA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,59,59,59,59,118
LURIBAY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,5,7,5,7,12
MACHACAMARCA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,23,29,23,29,52
MACHARETI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,20,39,20,39,59
MAGDALENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,14,18,14,18,32
MAIRANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,9,27,9,27,36
MALLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,17,6,17,6,23
MAPIRI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,13,9,13,9,22
MECAPACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,9,19,9,19,28
MINEROS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,22,32,22,32,54
MIZQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,6,8,6,8,14
MOCOMOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,14,10,14,10,24
MOJOCOYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,13,8,13,8,21
MONTEAGUDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,57,78,57,78,135
MONTERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,103,111,103,111,214
MORO MORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,2,2,2,4
MOROCHATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,42,60,42,60,102
OCURI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,5,7,5,12
OKINAWA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,4,2,4,6
OMEREQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,22,29,22,29,51
ORURO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,369,518,369,518,887
PADCAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,169,185,169,185,354
PADILLA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,16,22,16,22,38
PALOS BLANCOS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,16,26,16,26,42
PAMPA AULLAGAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,15,35,15,35,50
PAMPA GRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,8,13,8,13,21
PAPEL PAMPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,27,10,27,10,37
PASORAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,195,97,195,97,292
PATACAMAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,116,129,116,129,245
PAZÑA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,20,13,20,13,33
PELECHUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,10,16,10,16,26
POCOATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,64,80,64,80,144
POCONA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,69,81,69,81,150
POJO (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,17,13,17,13,30
POOPO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,44,43,44,43,87
POROMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,197,180,197,180,377
PORONGO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,22,30,22,30,52
PORTACHUELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,23,26,23,26,49
PORVENIR,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,9,11,9,11,20
POSTRER VALLE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,9,2,9,11
POTOSI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,168,172,168,172,340
PRESTO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,116,167,116,167,283
PUCARANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,28,30,28,30,58
PUERTO ACOSTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,5,14,5,14,19
PUERTO CARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3,2,3,2,5
PUERTO GONZALO MORENO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,76,90,76,90,166
PUERTO PEREZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,16,13,16,13,29
PUERTO QUIJARRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,52,100,52,100,152
PUERTO RICO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,30,35,30,35,65
PUERTO VILLARROEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,156,202,156,202,358
PUNA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,7,7,7,14
PUNATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,153,261,153,261,414
QUIABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,16,17,16,17,33
QUILLACOLLO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,150,170,150,170,320
QUIME,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,20,26,20,26,46
QUIRUSILLAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,5,8,5,8,13
RAVELO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,28,36,28,36,64
REYES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,25,25,25,25,50
RIBERALTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,231,438,231,438,669
RURRENABAQUE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,20,28,20,28,48
SABAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,44,38,44,38,82
SACABA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1320,1700,1320,1700,3020
SACABAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,6,6,6,6,12
SACACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,8,12,8,12,20
SALINAS DE GARCI MENDOZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,134,118,134,118,252
SAMAIPATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,11,24,11,24,35
SAN ANDRES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3,5,3,5,8
SAN ANDRES DE MACHACA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,31,38,31,38,69
SAN ANTONIO DE ESMORUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,55,95,55,95,150
SAN ANTONIO DE LOMERIO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1,1,1,1,2
SAN BENITO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,43,78,43,78,121
SAN BORJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,87,103,87,103,190
SAN IGNACIO DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,534,639,534,639,1173
SAN JAVIER(BNI),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,93,73,93,73,166
SAN JOAQUIN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,6,0,6,0,6
SAN JUAN DE YAPACANI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,3,7,3,10
SAN JULIAN,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,412,480,412,480,892
SAN LORENZO(TJA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,68,100,68,100,168
SAN LUCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,67,113,67,113,180
SAN MIGUEL DE VELASCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,84,104,84,104,188
SAN PABLO DE LIPEZ,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,9,16,9,16,25
SAN PEDRO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,8,7,8,7,15
SAN PEDRO DE BUENA VISTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,37,35,37,35,72
SAN PEDRO DE CURAHUARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,255,269,255,269,524
SAN PEDRO DE TIQUINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,6,3,6,3,9
SAN RAFAEL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,5,44,5,44,49
SAN RAMON BENI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,7,2,7,9
SANTA ANA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,43,45,43,45,88
SANTA CRUZ DE LA SIERRA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1273,1646,1273,1646,2919
SANTA ROSA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,8,4,8,12
SANTA ROSA DEL SARA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,174,172,174,172,346
SANTIAGO DE CALLAPA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,8,2,8,10
SANTIAGO DE HUARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,83,76,83,76,159
SANTIAGO DE HUATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,6,4,6,10
SANTUARIO DE QUILLACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3,17,3,17,20
SAPAHAQUI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,6,13,6,13,19
SENA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,0,2,0,2
SHINAOTA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,11,19,11,19,30
SICA SICA (VILLA AROMA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,29,39,29,39,68
SICAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,2,2,2,4
SIPE SIPE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,41,92,41,92,133
SOPACHUY,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,22,9,22,9,31
SORACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,108,96,108,96,204
SORATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,30,45,30,45,75
SUCRE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1667,1813,1667,1813,3480
TACACHI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,3,2,3,5
TACACOMA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,3,3,3,3,6
TACOBAMBA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,11,26,11,26,37
TACOPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,4,9,4,9,13
TAPACARI,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,19,5,19,5,24
TARABUCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,196,204,196,204,400
TARACO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,15,5,15,5,20
TARATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,13,18,13,18,31
TARIJA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,689,1050,689,1050,1739
TARVITA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,22,56,22,56,78
TEOPONTE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,1,3,1,3,4
TINGUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,11,11,11,11,22
TIQUIPAYA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,556,712,556,712,1268
TIRAQUE (CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,14,15,14,15,29
TOCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,38,27,38,27,65
TOLATA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,7,9,7,9,16
TOLEDO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,17,28,17,28,45
TOMINA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,35,28,35,28,63
TORO TORO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,101,71,101,71,172
TOTORA(CBBA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,102,122,102,122,224
TOTORA(ORR),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,12,24,12,24,36
TRIGAL,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,14,10,14,10,24
TRINIDAD,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,256,296,256,296,552
TUPIZA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,74,100,74,100,174
TURCO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,36,135,36,135,171
UMALA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,2,11,2,11,13
UNCIA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,97,102,97,102,199
URIONDO (A. CONCEPCION),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,51,61,51,61,112
VACAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,28,25,28,25,53
VALLEGRANDE,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,142,166,142,166,308
VIACHA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,63,55,63,55,118
VILA VILA,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,11,26,11,26,37
VILLA CHARCAS,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,11,7,11,7,18
VILLA MONTES,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,157,232,157,232,389
VILLA NUEVA (LOMA ALTA),atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,5,8,5,8,13
VILLA RIVERO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,17,74,17,74,91
VILLA SERRANO,atencion odontologica,acciones preventivas dentro del establecimiento,2014-10-01,56,69,56,69,125
