,group,variable,month,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTAL 3.1 PRIMERA CONSULTA CANTIDAD,TOTALES,TOTALES,TOTALES
TIQUIPAYA,atencion odontologica, primera consulta,2014-11-01,170,259,170,259,429
TIRAQUE (CBBA),atencion odontologica, primera consulta,2014-11-01,14,35,14,35,49
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, primera consulta,2014-11-01,1,0,1,0,1
TOCO,atencion odontologica, primera consulta,2014-11-01,12,29,12,29,41
TODOS SANTOS,atencion odontologica, primera consulta,2014-11-01,11,14,11,14,25
TOLATA,atencion odontologica, primera consulta,2014-11-01,14,25,14,25,39
TOLEDO,atencion odontologica, primera consulta,2014-11-01,7,15,7,15,22
TOMAVE,atencion odontologica, primera consulta,2014-11-01,53,86,53,86,139
TOMINA,atencion odontologica, primera consulta,2014-11-01,55,101,55,101,156
TORO TORO,atencion odontologica, primera consulta,2014-11-01,11,34,11,34,45
TOTORA(CBBA),atencion odontologica, primera consulta,2014-11-01,66,112,66,112,178
TOTORA(ORR),atencion odontologica, primera consulta,2014-11-01,18,30,18,30,48
TRIGAL,atencion odontologica, primera consulta,2014-11-01,6,3,6,3,9
TRINIDAD,atencion odontologica, primera consulta,2014-11-01,220,328,220,328,548
TUPIZA,atencion odontologica, primera consulta,2014-11-01,86,231,86,231,317
TURCO,atencion odontologica, primera consulta,2014-11-01,59,52,59,52,111
UMALA,atencion odontologica, primera consulta,2014-11-01,18,33,18,33,51
UNCIA,atencion odontologica, primera consulta,2014-11-01,52,88,52,88,140
URIONDO (A. CONCEPCION),atencion odontologica, primera consulta,2014-11-01,134,218,134,218,352
URUBICHA,atencion odontologica, primera consulta,2014-11-01,20,27,20,27,47
UYUNI,atencion odontologica, primera consulta,2014-11-01,26,29,26,29,55
VACAS,atencion odontologica, primera consulta,2014-11-01,22,43,22,43,65
VALLEGRANDE,atencion odontologica, primera consulta,2014-11-01,40,57,40,57,97
VIACHA,atencion odontologica, primera consulta,2014-11-01,112,170,112,170,282
VILA VILA,atencion odontologica, primera consulta,2014-11-01,12,49,12,49,61
VILLA CHARCAS,atencion odontologica, primera consulta,2014-11-01,19,44,19,44,63
VILLA MONTES,atencion odontologica, primera consulta,2014-11-01,244,347,244,347,591
VILLA NUEVA (LOMA ALTA),atencion odontologica, primera consulta,2014-11-01,15,16,15,16,31
VILLA RIVERO,atencion odontologica, primera consulta,2014-11-01,12,41,12,41,53
VILLA SERRANO,atencion odontologica, primera consulta,2014-11-01,30,43,30,43,73
VILLA TUNARI,atencion odontologica, primera consulta,2014-11-01,180,388,180,388,568
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, primera consulta,2014-11-01,67,185,67,185,252
VILLAZON,atencion odontologica, primera consulta,2014-11-01,124,174,124,174,298
VINTO,atencion odontologica, primera consulta,2014-11-01,55,88,55,88,143
WALDO BALLIVIAN,atencion odontologica, primera consulta,2014-11-01,0,8,0,8,8
WARNES,atencion odontologica, primera consulta,2014-11-01,29,67,29,67,96
YACO,atencion odontologica, primera consulta,2014-11-01,49,58,49,58,107
YACUIBA,atencion odontologica, primera consulta,2014-11-01,663,747,663,747,1410
YAMPARAEZ,atencion odontologica, primera consulta,2014-11-01,24,83,24,83,107
YANACACHI,atencion odontologica, primera consulta,2014-11-01,14,12,14,12,26
YAPACANI,atencion odontologica, primera consulta,2014-11-01,49,57,49,57,106
YOCALLA,atencion odontologica, primera consulta,2014-11-01,33,28,33,28,61
YOTALA,atencion odontologica, primera consulta,2014-11-01,14,38,14,38,52
YUNCHARA,atencion odontologica, primera consulta,2014-11-01,76,89,76,89,165
ZUDAÑEZ,atencion odontologica, primera consulta,2014-11-01,15,35,15,35,50
ACACIO,atencion odontologica, primera consulta,2014-12-01,6,9,6,9,15
ACHACACHI,atencion odontologica, primera consulta,2014-12-01,139,194,139,194,333
ACHOCALLA,atencion odontologica, primera consulta,2014-12-01,40,68,40,68,108
AIQUILE,atencion odontologica, primera consulta,2014-12-01,24,42,24,42,66
ALALAY,atencion odontologica, primera consulta,2014-12-01,3,13,3,13,16
ALCALA,atencion odontologica, primera consulta,2014-12-01,13,19,13,19,32
ALTO BENI,atencion odontologica, primera consulta,2014-12-01,28,29,28,29,57
ANCORAIMES,atencion odontologica, primera consulta,2014-12-01,10,12,10,12,22
ANDAMARCA,atencion odontologica, primera consulta,2014-12-01,15,28,15,28,43
ANTEQUERA,atencion odontologica, primera consulta,2014-12-01,0,4,0,4,4
ANZALDO,atencion odontologica, primera consulta,2014-12-01,9,13,9,13,22
APOLO,atencion odontologica, primera consulta,2014-12-01,16,45,16,45,61
ARAMPAMPA,atencion odontologica, primera consulta,2014-12-01,10,14,10,14,24
ARANI,atencion odontologica, primera consulta,2014-12-01,16,28,16,28,44
ARBIETO,atencion odontologica, primera consulta,2014-12-01,13,38,13,38,51
ARQUE,atencion odontologica, primera consulta,2014-12-01,13,28,13,28,41
ASCENCION DE GUARAYOS,atencion odontologica, primera consulta,2014-12-01,100,179,100,179,279
ATOCHA,atencion odontologica, primera consulta,2014-12-01,184,279,184,279,463
AYO AYO,atencion odontologica, primera consulta,2014-12-01,14,22,14,22,36
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, primera consulta,2014-12-01,33,39,33,39,72
AZURDUY,atencion odontologica, primera consulta,2014-12-01,17,25,17,25,42
BATALLAS,atencion odontologica, primera consulta,2014-12-01,47,76,47,76,123
BAURES,atencion odontologica, primera consulta,2014-12-01,13,15,13,15,28
BELEN DE ANDAMARCA,atencion odontologica, primera consulta,2014-12-01,3,12,3,12,15
BELEN DE URMIRI,atencion odontologica, primera consulta,2014-12-01,5,12,5,12,17
BELLA FLOR,atencion odontologica, primera consulta,2014-12-01,46,40,46,40,86
BERMEJO,atencion odontologica, primera consulta,2014-12-01,588,843,588,843,1431
BETANZOS,atencion odontologica, primera consulta,2014-12-01,87,144,87,144,231
BOLIVAR,atencion odontologica, primera consulta,2014-12-01,18,12,18,12,30
BOLPEBRA,atencion odontologica, primera consulta,2014-12-01,7,7,7,7,14
BOYUIBE,atencion odontologica, primera consulta,2014-12-01,2,12,2,12,14
BUENA VISTA,atencion odontologica, primera consulta,2014-12-01,18,27,18,27,45
CABEZAS,atencion odontologica, primera consulta,2014-12-01,108,135,108,135,243
CAIROMA,atencion odontologica, primera consulta,2014-12-01,35,42,35,42,77
"CAIZA ""D""",atencion odontologica, primera consulta,2014-12-01,32,72,32,72,104
CAJUATA,atencion odontologica, primera consulta,2014-12-01,35,43,35,43,78
CALACOTO,atencion odontologica, primera consulta,2014-12-01,17,13,17,13,30
CALAMARCA,atencion odontologica, primera consulta,2014-12-01,63,99,63,99,162
CAMARGO,atencion odontologica, primera consulta,2014-12-01,12,50,12,50,62
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, primera consulta,2014-12-01,12,20,12,20,32
CAMIRI,atencion odontologica, primera consulta,2014-12-01,82,173,82,173,255
CAPINOTA,atencion odontologica, primera consulta,2014-12-01,18,67,18,67,85
CAQUIAVIRI,atencion odontologica, primera consulta,2014-12-01,21,29,21,29,50
CARACOLLO,atencion odontologica, primera consulta,2014-12-01,41,65,41,65,106
CARANAVI,atencion odontologica, primera consulta,2014-12-01,45,72,45,72,117
CARAPARI,atencion odontologica, primera consulta,2014-12-01,57,71,57,71,128
CARIPUYO,atencion odontologica, primera consulta,2014-12-01,42,71,42,71,113
CARMEN RIVERO TORREZ,atencion odontologica, primera consulta,2014-12-01,50,93,50,93,143
CATACORA,atencion odontologica, primera consulta,2014-12-01,5,2,5,2,7
CHALLAPATA,atencion odontologica, primera consulta,2014-12-01,93,163,93,163,256
CHAQUI,atencion odontologica, primera consulta,2014-12-01,21,21,21,21,42
CHARAGUA,atencion odontologica, primera consulta,2014-12-01,86,128,86,128,214
CHARAÑA,atencion odontologica, primera consulta,2014-12-01,4,4,4,4,8
CHAYANTA,atencion odontologica, primera consulta,2014-12-01,57,92,57,92,149
CHIMORE,atencion odontologica, primera consulta,2014-12-01,27,56,27,56,83
CHIPAYA,atencion odontologica, primera consulta,2014-12-01,3,7,3,7,10
CHOQUE COTA,atencion odontologica, primera consulta,2014-12-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, primera consulta,2014-12-01,39,134,39,134,173
CHUMA,atencion odontologica, primera consulta,2014-12-01,45,75,45,75,120
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, primera consulta,2014-12-01,18,62,18,62,80
CKOCHAS,atencion odontologica, primera consulta,2014-12-01,22,30,22,30,52
CLIZA,atencion odontologica, primera consulta,2014-12-01,43,84,43,84,127
COBIJA,atencion odontologica, primera consulta,2014-12-01,154,312,154,312,466
COCAPATA,atencion odontologica, primera consulta,2014-12-01,31,54,31,54,85
COCHABAMBA,atencion odontologica, primera consulta,2014-12-01,883,1608,883,1608,2491
COIPASA,atencion odontologica, primera consulta,2014-12-01,9,7,9,7,16
COLCAPIRHUA,atencion odontologica, primera consulta,2014-12-01,67,114,67,114,181
"COLCHA ""K""",atencion odontologica, primera consulta,2014-12-01,17,29,17,29,46
COLOMI,atencion odontologica, primera consulta,2014-12-01,27,53,27,53,80
COLPA BELGICA,atencion odontologica, primera consulta,2014-12-01,3,19,3,19,22
COLQUECHACA,atencion odontologica, primera consulta,2014-12-01,85,166,85,166,251
COLQUENCHA,atencion odontologica, primera consulta,2014-12-01,22,24,22,24,46
COLQUIRI,atencion odontologica, primera consulta,2014-12-01,33,52,33,52,85
COMANCHE,atencion odontologica, primera consulta,2014-12-01,5,13,5,13,18
COMARAPA,atencion odontologica, primera consulta,2014-12-01,58,72,58,72,130
COMBAYA,atencion odontologica, primera consulta,2014-12-01,11,8,11,8,19
CONCEPCION,atencion odontologica, primera consulta,2014-12-01,61,95,61,95,156
COPACABANA,atencion odontologica, primera consulta,2014-12-01,7,17,7,17,24
CORIPATA,atencion odontologica, primera consulta,2014-12-01,18,12,18,12,30
CORO CORO,atencion odontologica, primera consulta,2014-12-01,10,5,10,5,15
COROICO,atencion odontologica, primera consulta,2014-12-01,56,81,56,81,137
CORQUE,atencion odontologica, primera consulta,2014-12-01,25,61,25,61,86
COTAGAITA,atencion odontologica, primera consulta,2014-12-01,76,93,76,93,169
COTOCA,atencion odontologica, primera consulta,2014-12-01,423,488,423,488,911
CUATRO CAÑADAS,atencion odontologica, primera consulta,2014-12-01,49,100,49,100,149
CULPINA,atencion odontologica, primera consulta,2014-12-01,58,117,58,117,175
CURAHUARA DE CARANGAS,atencion odontologica, primera consulta,2014-12-01,1,8,1,8,9
CURVA,atencion odontologica, primera consulta,2014-12-01,6,15,6,15,21
DESAGUADERO,atencion odontologica, primera consulta,2014-12-01,73,83,73,83,156
EL ALTO,atencion odontologica, primera consulta,2014-12-01,2753,3341,2753,3341,6094
EL CHORO,atencion odontologica, primera consulta,2014-12-01,14,25,14,25,39
EL PUENTE(STC),atencion odontologica, primera consulta,2014-12-01,49,81,49,81,130
EL PUENTE(TJA),atencion odontologica, primera consulta,2014-12-01,42,75,42,75,117
EL TORNO,atencion odontologica, primera consulta,2014-12-01,338,471,338,471,809
EL VILLAR,atencion odontologica, primera consulta,2014-12-01,18,29,18,29,47
ENTRE RIOS TRJ,atencion odontologica, primera consulta,2014-12-01,87,161,87,161,248
ENTRE RIOS CBBA,atencion odontologica, primera consulta,2014-12-01,40,89,40,89,129
ESCOMA,atencion odontologica, primera consulta,2014-12-01,47,43,47,43,90
EUCALIPTUS,atencion odontologica, primera consulta,2014-12-01,10,16,10,16,26
FERNANDEZ ALONSO,atencion odontologica, primera consulta,2014-12-01,19,47,19,47,66
FILADELFIA,atencion odontologica, primera consulta,2014-12-01,39,52,39,52,91
GENERAL SAAVEDRA,atencion odontologica, primera consulta,2014-12-01,23,60,23,60,83
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, primera consulta,2014-12-01,30,78,30,78,108
GUANAY,atencion odontologica, primera consulta,2014-12-01,17,28,17,28,45
GUAQUI,atencion odontologica, primera consulta,2014-12-01,55,96,55,96,151
GUAYARAMERIN,atencion odontologica, primera consulta,2014-12-01,434,161,434,161,595
GUTIERREZ,atencion odontologica, primera consulta,2014-12-01,13,19,13,19,32
HUACARETA,atencion odontologica, primera consulta,2014-12-01,7,20,7,20,27
HUACAYA (VILLA DE HUACAYA),atencion odontologica, primera consulta,2014-12-01,7,16,7,16,23
HUACHACALLA,atencion odontologica, primera consulta,2014-12-01,8,15,8,15,23
HUANUNI,atencion odontologica, primera consulta,2014-12-01,119,239,119,239,358
HUARACAJE,atencion odontologica, primera consulta,2014-12-01,1,2,1,2,3
HUATAJATA,atencion odontologica, primera consulta,2014-12-01,30,24,30,24,54
HUAYLLAMARCA,atencion odontologica, primera consulta,2014-12-01,5,3,5,3,8
HUMANATA,atencion odontologica, primera consulta,2014-12-01,5,5,5,5,10
ICHOCA,atencion odontologica, primera consulta,2014-12-01,15,25,15,25,40
ICLA,atencion odontologica, primera consulta,2014-12-01,28,44,28,44,72
INCAHUASI,atencion odontologica, primera consulta,2014-12-01,29,74,29,74,103
INGAVI (HUMAITA),atencion odontologica, primera consulta,2014-12-01,0,5,0,5,5
INQUISIVI,atencion odontologica, primera consulta,2014-12-01,16,13,16,13,29
IRUPANA (VILLA DE LANZA),atencion odontologica, primera consulta,2014-12-01,70,79,70,79,149
JESUS DE MACHACA,atencion odontologica, primera consulta,2014-12-01,40,69,40,69,109
LA ASUNTA,atencion odontologica, primera consulta,2014-12-01,89,135,89,135,224
LA GUARDIA,atencion odontologica, primera consulta,2014-12-01,105,211,105,211,316
LA PAZ,atencion odontologica, primera consulta,2014-12-01,2488,3067,2488,3067,5555
LAJA,atencion odontologica, primera consulta,2014-12-01,26,47,26,47,73
LAS CARRERAS,atencion odontologica, primera consulta,2014-12-01,6,14,6,14,20
LICOMA PAMPA,atencion odontologica, primera consulta,2014-12-01,8,13,8,13,21
LLALLAGUA,atencion odontologica, primera consulta,2014-12-01,57,117,57,117,174
LLICA,atencion odontologica, primera consulta,2014-12-01,14,16,14,16,30
LURIBAY,atencion odontologica, primera consulta,2014-12-01,19,23,19,23,42
MACHACAMARCA,atencion odontologica, primera consulta,2014-12-01,26,32,26,32,58
MACHARETI,atencion odontologica, primera consulta,2014-12-01,28,71,28,71,99
MAGDALENA,atencion odontologica, primera consulta,2014-12-01,14,25,14,25,39
MAIRANA,atencion odontologica, primera consulta,2014-12-01,16,40,16,40,56
MALLA,atencion odontologica, primera consulta,2014-12-01,22,11,22,11,33
MAPIRI,atencion odontologica, primera consulta,2014-12-01,38,87,38,87,125
MECAPACA,atencion odontologica, primera consulta,2014-12-01,8,6,8,6,14
MINEROS,atencion odontologica, primera consulta,2014-12-01,4,3,4,3,7
MIZQUE,atencion odontologica, primera consulta,2014-12-01,19,38,19,38,57
MOCOMOCO,atencion odontologica, primera consulta,2014-12-01,49,109,49,109,158
MOJINETE,atencion odontologica, primera consulta,2014-12-01,2,7,2,7,9
MOJOCOYA,atencion odontologica, primera consulta,2014-12-01,15,24,15,24,39
MONTEAGUDO,atencion odontologica, primera consulta,2014-12-01,48,141,48,141,189
MONTERO,atencion odontologica, primera consulta,2014-12-01,255,558,255,558,813
MORO MORO,atencion odontologica, primera consulta,2014-12-01,14,20,14,20,34
MOROCHATA,atencion odontologica, primera consulta,2014-12-01,27,34,27,34,61
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica, primera consulta,2014-12-01,5,4,5,4,9
OCURI,atencion odontologica, primera consulta,2014-12-01,43,85,43,85,128
OKINAWA,atencion odontologica, primera consulta,2014-12-01,29,65,29,65,94
OMEREQUE,atencion odontologica, primera consulta,2014-12-01,14,20,14,20,34
ORURO,atencion odontologica, primera consulta,2014-12-01,651,1039,651,1039,1690
PADCAYA,atencion odontologica, primera consulta,2014-12-01,149,172,149,172,321
PADILLA,atencion odontologica, primera consulta,2014-12-01,43,73,43,73,116
PAILON,atencion odontologica, primera consulta,2014-12-01,21,13,21,13,34
PALCA,atencion odontologica, primera consulta,2014-12-01,31,33,31,33,64
PALOS BLANCOS,atencion odontologica, primera consulta,2014-12-01,43,70,43,70,113
PAMPA AULLAGAS,atencion odontologica, primera consulta,2014-12-01,6,7,6,7,13
PAMPA GRANDE,atencion odontologica, primera consulta,2014-12-01,28,67,28,67,95
PAPEL PAMPA,atencion odontologica, primera consulta,2014-12-01,15,25,15,25,40
PATACAMAYA,atencion odontologica, primera consulta,2014-12-01,28,69,28,69,97
PAZÑA,atencion odontologica, primera consulta,2014-12-01,35,48,35,48,83
PELECHUCO,atencion odontologica, primera consulta,2014-12-01,16,24,16,24,40
POCOATA,atencion odontologica, primera consulta,2014-12-01,118,190,118,190,308
POCONA,atencion odontologica, primera consulta,2014-12-01,32,43,32,43,75
POJO (CBBA),atencion odontologica, primera consulta,2014-12-01,18,38,18,38,56
POOPO,atencion odontologica, primera consulta,2014-12-01,32,36,32,36,68
PORCO,atencion odontologica, primera consulta,2014-12-01,16,41,16,41,57
POROMA,atencion odontologica, primera consulta,2014-12-01,25,112,25,112,137
PORONGO,atencion odontologica, primera consulta,2014-12-01,15,30,15,30,45
PORTACHUELO,atencion odontologica, primera consulta,2014-12-01,48,88,48,88,136
PORVENIR,atencion odontologica, primera consulta,2014-12-01,34,57,34,57,91
POSTRER VALLE,atencion odontologica, primera consulta,2014-12-01,17,32,17,32,49
POTOSI,atencion odontologica, primera consulta,2014-12-01,721,1091,721,1091,1812
PRESTO,atencion odontologica, primera consulta,2014-12-01,42,43,42,43,85
PUCARA,atencion odontologica, primera consulta,2014-12-01,10,4,10,4,14
PUCARANI,atencion odontologica, primera consulta,2014-12-01,51,110,51,110,161
PUERTO ACOSTA,atencion odontologica, primera consulta,2014-12-01,12,18,12,18,30
PUERTO CARABUCO,atencion odontologica, primera consulta,2014-12-01,54,83,54,83,137
PUERTO GONZALO MORENO,atencion odontologica, primera consulta,2014-12-01,41,103,41,103,144
PUERTO QUIJARRO,atencion odontologica, primera consulta,2014-12-01,11,24,11,24,35
PUERTO RICO,atencion odontologica, primera consulta,2014-12-01,47,64,47,64,111
PUERTO SUAREZ,atencion odontologica, primera consulta,2014-12-01,80,61,80,61,141
PUERTO VILLARROEL,atencion odontologica, primera consulta,2014-12-01,116,165,116,165,281
PUNA,atencion odontologica, primera consulta,2014-12-01,41,64,41,64,105
PUNATA,atencion odontologica, primera consulta,2014-12-01,49,92,49,92,141
QUIABAYA,atencion odontologica, primera consulta,2014-12-01,13,33,13,33,46
QUILLACOLLO,atencion odontologica, primera consulta,2014-12-01,256,363,256,363,619
