,group,variable,month,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTAL 3.7 RESTAURACIONES CANTIDAD,TOTALES,TOTALES,TOTALES
LLICA,atencion odontologica, restauraciones,2014-11-01,23,47,23,47,70
LURIBAY,atencion odontologica, restauraciones,2014-11-01,8,16,8,16,24
MACHACAMARCA,atencion odontologica, restauraciones,2014-11-01,18,48,18,48,66
MACHARETI,atencion odontologica, restauraciones,2014-11-01,26,45,26,45,71
MAGDALENA,atencion odontologica, restauraciones,2014-11-01,36,43,36,43,79
MAIRANA,atencion odontologica, restauraciones,2014-11-01,12,44,12,44,56
MALLA,atencion odontologica, restauraciones,2014-11-01,1,0,1,0,1
MAPIRI,atencion odontologica, restauraciones,2014-11-01,22,28,22,28,50
MECAPACA,atencion odontologica, restauraciones,2014-11-01,23,45,23,45,68
MINEROS,atencion odontologica, restauraciones,2014-11-01,0,89,0,89,89
MIZQUE,atencion odontologica, restauraciones,2014-11-01,15,34,15,34,49
MOCOMOCO,atencion odontologica, restauraciones,2014-11-01,19,28,19,28,47
MOJOCOYA,atencion odontologica, restauraciones,2014-11-01,62,136,62,136,198
MONTEAGUDO,atencion odontologica, restauraciones,2014-11-01,99,206,99,206,305
MONTERO,atencion odontologica, restauraciones,2014-11-01,105,225,105,225,330
MORO MORO,atencion odontologica, restauraciones,2014-11-01,13,41,13,41,54
MOROCHATA,atencion odontologica, restauraciones,2014-11-01,62,60,62,60,122
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica, restauraciones,2014-11-01,1,0,1,0,1
OCURI,atencion odontologica, restauraciones,2014-11-01,20,28,20,28,48
ORURO,atencion odontologica, restauraciones,2014-11-01,651,1090,651,1090,1741
PADCAYA,atencion odontologica, restauraciones,2014-11-01,50,77,50,77,127
PADILLA,atencion odontologica, restauraciones,2014-11-01,51,72,51,72,123
PAILON,atencion odontologica, restauraciones,2014-11-01,68,112,68,112,180
PALCA,atencion odontologica, restauraciones,2014-11-01,29,41,29,41,70
PALOS BLANCOS,atencion odontologica, restauraciones,2014-11-01,54,63,54,63,117
PAMPA AULLAGAS,atencion odontologica, restauraciones,2014-11-01,11,10,11,10,21
PAMPA GRANDE,atencion odontologica, restauraciones,2014-11-01,3,19,3,19,22
PAPEL PAMPA,atencion odontologica, restauraciones,2014-11-01,19,60,19,60,79
PASORAPA,atencion odontologica, restauraciones,2014-11-01,3,8,3,8,11
PATACAMAYA,atencion odontologica, restauraciones,2014-11-01,45,95,45,95,140
PAZÑA,atencion odontologica, restauraciones,2014-11-01,22,42,22,42,64
PELECHUCO,atencion odontologica, restauraciones,2014-11-01,31,36,31,36,67
POCOATA,atencion odontologica, restauraciones,2014-11-01,58,78,58,78,136
POCONA,atencion odontologica, restauraciones,2014-11-01,142,186,142,186,328
POJO (CBBA),atencion odontologica, restauraciones,2014-11-01,23,43,23,43,66
POOPO,atencion odontologica, restauraciones,2014-11-01,74,102,74,102,176
PORCO,atencion odontologica, restauraciones,2014-11-01,5,24,5,24,29
POROMA,atencion odontologica, restauraciones,2014-11-01,11,25,11,25,36
PORONGO,atencion odontologica, restauraciones,2014-11-01,8,47,8,47,55
PORTACHUELO,atencion odontologica, restauraciones,2014-11-01,14,73,14,73,87
PORVENIR,atencion odontologica, restauraciones,2014-11-01,26,42,26,42,68
POSTRER VALLE,atencion odontologica, restauraciones,2014-11-01,12,8,12,8,20
POTOSI,atencion odontologica, restauraciones,2014-11-01,305,489,305,489,794
PRESTO,atencion odontologica, restauraciones,2014-11-01,36,54,36,54,90
PUCARA,atencion odontologica, restauraciones,2014-11-01,13,14,13,14,27
PUCARANI,atencion odontologica, restauraciones,2014-11-01,35,37,35,37,72
PUERTO ACOSTA,atencion odontologica, restauraciones,2014-11-01,18,30,18,30,48
PUERTO CARABUCO,atencion odontologica, restauraciones,2014-11-01,38,31,38,31,69
PUERTO GONZALO MORENO,atencion odontologica, restauraciones,2014-11-01,76,77,76,77,153
PUERTO PEREZ,atencion odontologica, restauraciones,2014-11-01,2,7,2,7,9
PUERTO QUIJARRO,atencion odontologica, restauraciones,2014-11-01,37,22,37,22,59
PUERTO RICO,atencion odontologica, restauraciones,2014-11-01,16,37,16,37,53
PUERTO SILES,atencion odontologica, restauraciones,2014-11-01,10,12,10,12,22
PUERTO SUAREZ,atencion odontologica, restauraciones,2014-11-01,0,76,0,76,76
PUERTO VILLARROEL,atencion odontologica, restauraciones,2014-11-01,130,252,130,252,382
PUNA,atencion odontologica, restauraciones,2014-11-01,31,56,31,56,87
PUNATA,atencion odontologica, restauraciones,2014-11-01,181,211,181,211,392
QUIABAYA,atencion odontologica, restauraciones,2014-11-01,9,13,9,13,22
QUILLACOLLO,atencion odontologica, restauraciones,2014-11-01,1124,1679,1124,1679,2803
QUIME,atencion odontologica, restauraciones,2014-11-01,96,74,96,74,170
QUIRUSILLAS,atencion odontologica, restauraciones,2014-11-01,10,13,10,13,23
RAVELO,atencion odontologica, restauraciones,2014-11-01,36,68,36,68,104
REYES,atencion odontologica, restauraciones,2014-11-01,37,82,37,82,119
RIBERALTA,atencion odontologica, restauraciones,2014-11-01,91,224,91,224,315
ROBORE,atencion odontologica, restauraciones,2014-11-01,17,54,17,54,71
SABAYA,atencion odontologica, restauraciones,2014-11-01,21,25,21,25,46
SACABA,atencion odontologica, restauraciones,2014-11-01,591,911,591,911,1502
SACABAMBA,atencion odontologica, restauraciones,2014-11-01,8,23,8,23,31
SACACA,atencion odontologica, restauraciones,2014-11-01,19,43,19,43,62
SAIPINA,atencion odontologica, restauraciones,2014-11-01,21,10,21,10,31
SALINAS DE GARCI MENDOZA,atencion odontologica, restauraciones,2014-11-01,160,217,160,217,377
SAMAIPATA,atencion odontologica, restauraciones,2014-11-01,3,28,3,28,31
SAN AGUSTIN,atencion odontologica, restauraciones,2014-11-01,5,9,5,9,14
SAN ANDRES,atencion odontologica, restauraciones,2014-11-01,11,48,11,48,59
SAN ANDRES DE MACHACA,atencion odontologica, restauraciones,2014-11-01,38,46,38,46,84
SAN ANTONIO DE ESMORUCO,atencion odontologica, restauraciones,2014-11-01,5,8,5,8,13
SAN ANTONIO DE LOMERIO,atencion odontologica, restauraciones,2014-11-01,5,17,5,17,22
SAN BENITO,atencion odontologica, restauraciones,2014-11-01,15,21,15,21,36
SAN BORJA,atencion odontologica, restauraciones,2014-11-01,44,97,44,97,141
SAN BUENA VENTURA,atencion odontologica, restauraciones,2014-11-01,25,33,25,33,58
SAN CARLOS,atencion odontologica, restauraciones,2014-11-01,56,97,56,97,153
SAN IGNACIO,atencion odontologica, restauraciones,2014-11-01,55,157,55,157,212
SAN IGNACIO DE VELASCO,atencion odontologica, restauraciones,2014-11-01,398,480,398,480,878
SAN JAVIER(BNI),atencion odontologica, restauraciones,2014-11-01,0,4,0,4,4
SAN JOSE DE CHIQUITOS,atencion odontologica, restauraciones,2014-11-01,16,33,16,33,49
SAN JUAN DE YAPACANI,atencion odontologica, restauraciones,2014-11-01,11,37,11,37,48
SAN JULIAN,atencion odontologica, restauraciones,2014-11-01,41,131,41,131,172
SAN LORENZO(PND),atencion odontologica, restauraciones,2014-11-01,0,5,0,5,5
SAN LORENZO(TJA),atencion odontologica, restauraciones,2014-11-01,126,267,126,267,393
SAN LUCAS,atencion odontologica, restauraciones,2014-11-01,46,102,46,102,148
SAN MATIAS,atencion odontologica, restauraciones,2014-11-01,18,34,18,34,52
SAN MIGUEL DE VELASCO,atencion odontologica, restauraciones,2014-11-01,4,7,4,7,11
SAN PABLO DE LIPEZ,atencion odontologica, restauraciones,2014-11-01,1,3,1,3,4
SAN PEDRO,atencion odontologica, restauraciones,2014-11-01,119,146,119,146,265
SAN PEDRO DE BUENA VISTA,atencion odontologica, restauraciones,2014-11-01,20,51,20,51,71
SAN PEDRO DE QUEMES,atencion odontologica, restauraciones,2014-11-01,3,2,3,2,5
SAN PEDRO DE TIQUINA,atencion odontologica, restauraciones,2014-11-01,4,6,4,6,10
SAN RAFAEL,atencion odontologica, restauraciones,2014-11-01,10,15,10,15,25
SAN RAMON BENI,atencion odontologica, restauraciones,2014-11-01,0,4,0,4,4
SAN RAMON SCZ,atencion odontologica, restauraciones,2014-11-01,17,35,17,35,52
SANTA ANA,atencion odontologica, restauraciones,2014-11-01,43,84,43,84,127
SANTA CRUZ DE LA SIERRA,atencion odontologica, restauraciones,2014-11-01,1421,2245,1421,2245,3666
SANTA ROSA,atencion odontologica, restauraciones,2014-11-01,7,7,7,7,14
SANTA ROSA DEL SARA,atencion odontologica, restauraciones,2014-11-01,28,100,28,100,128
SANTIAGO DE CALLAPA,atencion odontologica, restauraciones,2014-11-01,7,6,7,6,13
SANTIAGO DE HUARI,atencion odontologica, restauraciones,2014-11-01,119,200,119,200,319
SANTIAGO DE HUATA,atencion odontologica, restauraciones,2014-11-01,29,57,29,57,86
SANTIVAÑES,atencion odontologica, restauraciones,2014-11-01,8,23,8,23,31
SANTUARIO DE QUILLACAS,atencion odontologica, restauraciones,2014-11-01,3,20,3,20,23
SAPAHAQUI,atencion odontologica, restauraciones,2014-11-01,21,49,21,49,70
SENA,atencion odontologica, restauraciones,2014-11-01,4,2,4,2,6
SHINAOTA,atencion odontologica, restauraciones,2014-11-01,55,88,55,88,143
SICA SICA (VILLA AROMA),atencion odontologica, restauraciones,2014-11-01,16,16,16,16,32
SICAYA,atencion odontologica, restauraciones,2014-11-01,2,10,2,10,12
SIPE SIPE,atencion odontologica, restauraciones,2014-11-01,102,200,102,200,302
SOPACHUY,atencion odontologica, restauraciones,2014-11-01,37,92,37,92,129
SORACACHI,atencion odontologica, restauraciones,2014-11-01,11,13,11,13,24
SORATA,atencion odontologica, restauraciones,2014-11-01,31,45,31,45,76
SUCRE,atencion odontologica, restauraciones,2014-11-01,2427,4008,2427,4008,6435
TACACHI,atencion odontologica, restauraciones,2014-11-01,0,1,0,1,1
TACACOMA,atencion odontologica, restauraciones,2014-11-01,27,63,27,63,90
TACOBAMBA,atencion odontologica, restauraciones,2014-11-01,8,15,8,15,23
TACOPAYA,atencion odontologica, restauraciones,2014-11-01,13,25,13,25,38
TAHUA,atencion odontologica, restauraciones,2014-11-01,2,3,2,3,5
TAPACARI,atencion odontologica, restauraciones,2014-11-01,59,96,59,96,155
TARABUCO,atencion odontologica, restauraciones,2014-11-01,38,66,38,66,104
TARACO,atencion odontologica, restauraciones,2014-11-01,32,36,32,36,68
TARATA,atencion odontologica, restauraciones,2014-11-01,70,91,70,91,161
TARIJA,atencion odontologica, restauraciones,2014-11-01,2305,4273,2305,4273,6578
TARVITA,atencion odontologica, restauraciones,2014-11-01,15,27,15,27,42
TEOPONTE,atencion odontologica, restauraciones,2014-11-01,20,36,20,36,56
TIAWANACU,atencion odontologica, restauraciones,2014-11-01,14,45,14,45,59
TINGUIPAYA,atencion odontologica, restauraciones,2014-11-01,12,21,12,21,33
TIPUANI,atencion odontologica, restauraciones,2014-11-01,5,8,5,8,13
TIQUIPAYA,atencion odontologica, restauraciones,2014-11-01,534,736,534,736,1270
TIRAQUE (CBBA),atencion odontologica, restauraciones,2014-11-01,23,54,23,54,77
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, restauraciones,2014-11-01,6,6,6,6,12
TOCO,atencion odontologica, restauraciones,2014-11-01,37,58,37,58,95
TOLATA,atencion odontologica, restauraciones,2014-11-01,11,31,11,31,42
TOLEDO,atencion odontologica, restauraciones,2014-11-01,3,5,3,5,8
TOMAVE,atencion odontologica, restauraciones,2014-11-01,24,43,24,43,67
TOMINA,atencion odontologica, restauraciones,2014-11-01,59,97,59,97,156
TORO TORO,atencion odontologica, restauraciones,2014-11-01,22,20,22,20,42
TOTORA(CBBA),atencion odontologica, restauraciones,2014-11-01,45,117,45,117,162
TOTORA(ORR),atencion odontologica, restauraciones,2014-11-01,7,13,7,13,20
TRIGAL,atencion odontologica, restauraciones,2014-11-01,8,7,8,7,15
TRINIDAD,atencion odontologica, restauraciones,2014-11-01,236,271,236,271,507
TUPIZA,atencion odontologica, restauraciones,2014-11-01,114,133,114,133,247
TURCO,atencion odontologica, restauraciones,2014-11-01,13,22,13,22,35
UMALA,atencion odontologica, restauraciones,2014-11-01,8,33,8,33,41
UNCIA,atencion odontologica, restauraciones,2014-11-01,30,59,30,59,89
URIONDO (A. CONCEPCION),atencion odontologica, restauraciones,2014-11-01,145,233,145,233,378
URUBICHA,atencion odontologica, restauraciones,2014-11-01,9,16,9,16,25
UYUNI,atencion odontologica, restauraciones,2014-11-01,30,7,30,7,37
VACAS,atencion odontologica, restauraciones,2014-11-01,16,28,16,28,44
VALLEGRANDE,atencion odontologica, restauraciones,2014-11-01,102,150,102,150,252
VIACHA,atencion odontologica, restauraciones,2014-11-01,166,170,166,170,336
VILA VILA,atencion odontologica, restauraciones,2014-11-01,14,16,14,16,30
VILLA CHARCAS,atencion odontologica, restauraciones,2014-11-01,14,12,14,12,26
VILLA MONTES,atencion odontologica, restauraciones,2014-11-01,305,324,305,324,629
VILLA NUEVA (LOMA ALTA),atencion odontologica, restauraciones,2014-11-01,4,7,4,7,11
VILLA RIVERO,atencion odontologica, restauraciones,2014-11-01,18,49,18,49,67
VILLA SERRANO,atencion odontologica, restauraciones,2014-11-01,76,110,76,110,186
VILLA TUNARI,atencion odontologica, restauraciones,2014-11-01,313,567,313,567,880
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, restauraciones,2014-11-01,114,148,114,148,262
VILLAZON,atencion odontologica, restauraciones,2014-11-01,77,183,77,183,260
VINTO,atencion odontologica, restauraciones,2014-11-01,88,174,88,174,262
VITICHI,atencion odontologica, restauraciones,2014-11-01,10,7,10,7,17
WALDO BALLIVIAN,atencion odontologica, restauraciones,2014-11-01,4,6,4,6,10
WARNES,atencion odontologica, restauraciones,2014-11-01,4,12,4,12,16
YACO,atencion odontologica, restauraciones,2014-11-01,6,5,6,5,11
YACUIBA,atencion odontologica, restauraciones,2014-11-01,330,665,330,665,995
YAMPARAEZ,atencion odontologica, restauraciones,2014-11-01,8,32,8,32,40
YANACACHI,atencion odontologica, restauraciones,2014-11-01,24,22,24,22,46
YAPACANI,atencion odontologica, restauraciones,2014-11-01,67,147,67,147,214
YOCALLA,atencion odontologica, restauraciones,2014-11-01,8,20,8,20,28
YOTALA,atencion odontologica, restauraciones,2014-11-01,10,20,10,20,30
YUNCHARA,atencion odontologica, restauraciones,2014-11-01,50,63,50,63,113
ZUDAÑEZ,atencion odontologica, restauraciones,2014-11-01,11,11,11,11,22
ACACIO,atencion odontologica, restauraciones,2014-12-01,6,6,6,6,12
ACHACACHI,atencion odontologica, restauraciones,2014-12-01,148,191,148,191,339
ACHOCALLA,atencion odontologica, restauraciones,2014-12-01,8,9,8,9,17
AIQUILE,atencion odontologica, restauraciones,2014-12-01,39,120,39,120,159
ALALAY,atencion odontologica, restauraciones,2014-12-01,0,10,0,10,10
ALCALA,atencion odontologica, restauraciones,2014-12-01,17,35,17,35,52
ALTO BENI,atencion odontologica, restauraciones,2014-12-01,7,18,7,18,25
ANDAMARCA,atencion odontologica, restauraciones,2014-12-01,40,54,40,54,94
ANTEQUERA,atencion odontologica, restauraciones,2014-12-01,7,7,7,7,14
ANZALDO,atencion odontologica, restauraciones,2014-12-01,4,7,4,7,11
APOLO,atencion odontologica, restauraciones,2014-12-01,15,67,15,67,82
ARAMPAMPA,atencion odontologica, restauraciones,2014-12-01,20,9,20,9,29
ARANI,atencion odontologica, restauraciones,2014-12-01,23,49,23,49,72
ARBIETO,atencion odontologica, restauraciones,2014-12-01,19,60,19,60,79
ARQUE,atencion odontologica, restauraciones,2014-12-01,27,40,27,40,67
ASCENCION DE GUARAYOS,atencion odontologica, restauraciones,2014-12-01,4,22,4,22,26
ATOCHA,atencion odontologica, restauraciones,2014-12-01,167,297,167,297,464
AYO AYO,atencion odontologica, restauraciones,2014-12-01,6,20,6,20,26
AYOPAYA (V. DE INDEPENDENCIA),atencion odontologica, restauraciones,2014-12-01,61,97,61,97,158
AZURDUY,atencion odontologica, restauraciones,2014-12-01,3,18,3,18,21
BATALLAS,atencion odontologica, restauraciones,2014-12-01,26,59,26,59,85
BAURES,atencion odontologica, restauraciones,2014-12-01,17,26,17,26,43
BELEN DE ANDAMARCA,atencion odontologica, restauraciones,2014-12-01,6,18,6,18,24
BELEN DE URMIRI,atencion odontologica, restauraciones,2014-12-01,1,12,1,12,13
BELLA FLOR,atencion odontologica, restauraciones,2014-12-01,15,7,15,7,22
BERMEJO,atencion odontologica, restauraciones,2014-12-01,137,328,137,328,465
BETANZOS,atencion odontologica, restauraciones,2014-12-01,64,133,64,133,197
BOLIVAR,atencion odontologica, restauraciones,2014-12-01,18,7,18,7,25
BOLPEBRA,atencion odontologica, restauraciones,2014-12-01,9,9,9,9,18
BOYUIBE,atencion odontologica, restauraciones,2014-12-01,4,23,4,23,27
BUENA VISTA,atencion odontologica, restauraciones,2014-12-01,20,45,20,45,65
CABEZAS,atencion odontologica, restauraciones,2014-12-01,19,26,19,26,45
CAIROMA,atencion odontologica, restauraciones,2014-12-01,6,23,6,23,29
"CAIZA ""D""",atencion odontologica, restauraciones,2014-12-01,18,32,18,32,50
CAJUATA,atencion odontologica, restauraciones,2014-12-01,17,17,17,17,34
CALAMARCA,atencion odontologica, restauraciones,2014-12-01,42,82,42,82,124
CAMARGO,atencion odontologica, restauraciones,2014-12-01,10,67,10,67,77
CAMATAQUI (C. VILLA ABECIA),atencion odontologica, restauraciones,2014-12-01,5,17,5,17,22
CAMIRI,atencion odontologica, restauraciones,2014-12-01,50,138,50,138,188
CAPINOTA,atencion odontologica, restauraciones,2014-12-01,133,189,133,189,322
CAQUIAVIRI,atencion odontologica, restauraciones,2014-12-01,35,36,35,36,71
CARACOLLO,atencion odontologica, restauraciones,2014-12-01,70,175,70,175,245
CARANAVI,atencion odontologica, restauraciones,2014-12-01,72,70,72,70,142
CARAPARI,atencion odontologica, restauraciones,2014-12-01,151,246,151,246,397
CARIPUYO,atencion odontologica, restauraciones,2014-12-01,23,58,23,58,81
CARMEN RIVERO TORREZ,atencion odontologica, restauraciones,2014-12-01,15,17,15,17,32
CATACORA,atencion odontologica, restauraciones,2014-12-01,13,8,13,8,21
CHALLAPATA,atencion odontologica, restauraciones,2014-12-01,193,264,193,264,457
CHAQUI,atencion odontologica, restauraciones,2014-12-01,1,0,1,0,1
CHARAGUA,atencion odontologica, restauraciones,2014-12-01,23,28,23,28,51
CHARAÑA,atencion odontologica, restauraciones,2014-12-01,1,16,1,16,17
CHAYANTA,atencion odontologica, restauraciones,2014-12-01,42,71,42,71,113
CHIMORE,atencion odontologica, restauraciones,2014-12-01,60,64,60,64,124
CHIPAYA,atencion odontologica, restauraciones,2014-12-01,5,1,5,1,6
CHOQUE COTA,atencion odontologica, restauraciones,2014-12-01,4,1,4,1,5
CHUA COCANI,atencion odontologica, restauraciones,2014-12-01,1,4,1,4,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, restauraciones,2014-12-01,35,80,35,80,115
CHUMA,atencion odontologica, restauraciones,2014-12-01,48,87,48,87,135
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica, restauraciones,2014-12-01,21,55,21,55,76
CKOCHAS,atencion odontologica, restauraciones,2014-12-01,5,9,5,9,14
CLIZA,atencion odontologica, restauraciones,2014-12-01,77,124,77,124,201
COBIJA,atencion odontologica, restauraciones,2014-12-01,137,201,137,201,338
COCAPATA,atencion odontologica, restauraciones,2014-12-01,30,42,30,42,72
COCHABAMBA,atencion odontologica, restauraciones,2014-12-01,2994,4642,2994,4642,7636
COIPASA,atencion odontologica, restauraciones,2014-12-01,18,23,18,23,41
COLCAPIRHUA,atencion odontologica, restauraciones,2014-12-01,99,118,99,118,217
"COLCHA ""K""",atencion odontologica, restauraciones,2014-12-01,18,29,18,29,47
COLOMI,atencion odontologica, restauraciones,2014-12-01,25,80,25,80,105
COLPA BELGICA,atencion odontologica, restauraciones,2014-12-01,9,15,9,15,24
COLQUECHACA,atencion odontologica, restauraciones,2014-12-01,82,133,82,133,215
COLQUENCHA,atencion odontologica, restauraciones,2014-12-01,9,23,9,23,32
COLQUIRI,atencion odontologica, restauraciones,2014-12-01,28,41,28,41,69
