,group,variable,month,O.P.V. 1RA DOSIS,O.P.V. 1RA DOSIS,TOTALES,TOTALES,TOTALES
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,2,1,2,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,28,2,28,2,30
SAN JOAQUIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,14,9,14,9,23
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,30,9,30,9,39
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,12,9,12,9,21
SAN JULIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,49,22,49,22,71
SAN LORENZO(PND),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,3,6,3,9
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,14,7,14,7,21
SAN LUCAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,35,41,35,41,76
SAN MATIAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,23,3,23,3,26
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,21,8,21,8,29
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,0,1,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,26,0,26,0,26
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,26,48,26,48,74
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,3,4,3,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,0,2,0,2
SAN RAFAEL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,5,10,5,15
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,19,1,19,1,20
SAN RAMON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,11,7,11,18
SANTA ANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,26,22,26,22,48
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2362,104,2362,104,2466
SANTA ROSA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,13,7,13,7,20
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,26,6,26,6,32
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,3,2,3,5
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,2,2,2,4
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,10,0,10,10
SANTIVAÑES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,9,2,9,2,11
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,3,3,3,6
SAPAHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,4,11,4,15
SENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,5,6,5,11
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,19,8,19,8,27
SICAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,4,2,4,6
SIPE SIPE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,70,11,70,11,81
SOPACHUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,5,10,5,15
SORACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,9,3,9,12
SORATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,24,24,24,24,48
SUCRE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,472,31,472,31,503
TACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,0,3,0,3
TACACOMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,6,6,6,12
TACOBAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,14,7,14,21
TACOPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,22,7,22,29
TAHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,1,7,1,8
TAPACARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,38,31,38,31,69
TARABUCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,16,25,16,25,41
TARACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,4,3,4,3,7
TARATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,13,4,13,4,17
TARIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,351,4,351,4,355
TARVITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,16,22,16,22,38
TEOPONTE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,7,10,7,10,17
TIAWANACU,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,14,11,14,25
TINGUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,23,27,23,27,50
TIPUANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,5,10,5,15
TIQUIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,109,6,109,6,115
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,79,11,79,11,90
TOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,11,1,11,1,12
TOLATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,0,10,0,10
TOLEDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,8,1,8,1,9
TOMAVE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,5,10,5,15
TOMINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,13,8,13,8,21
TORO TORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,21,5,21,26
TOTORA(CBBA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,19,7,19,7,26
TOTORA(ORR),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,0,2,0,2
TRIGAL,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,203,1,203,1,204
TUPIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,65,17,65,17,82
TURCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,2,5,2,7
UMALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,17,0,17,17
UNCIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,35,21,35,21,56
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,19,5,19,5,24
URUBICHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,0,20,0,20,20
UYUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,46,3,46,3,49
VACAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,10,10,10,10,20
VALLEGRANDE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,19,4,19,4,23
VIACHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,73,9,73,9,82
VILA VILA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,10,6,10,16
VILLA MONTES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,59,8,59,8,67
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,1,3,1,4
VILLA RIVERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,3,0,3,0,3
VILLA SERRANO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,15,8,15,8,23
VILLA TUNARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,112,17,112,17,129
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,12,3,12,3,15
VILLAZON,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,48,10,48,10,58
VINTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,92,5,92,5,97
VITICHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,12,6,12,6,18
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,2,2,2,2,4
WARNES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,96,19,96,19,115
YACO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,11,6,11,17
YACUIBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,142,19,142,19,161
YAMPARAEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,8,4,8,4,12
YANACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,0,6,0,6
YAPACANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,80,10,80,10,90
YOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,5,10,5,10,15
YOTALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,12,4,12,4,16
YUNCHARA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,1,16,1,16,17
ZUDAÑEZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-11-01,6,5,6,5,11
ACACIO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,8,3,8,11
ACHACACHI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,49,28,49,28,77
ACHOCALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,15,8,15,8,23
AIQUILE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,38,4,38,4,42
ALALAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,1,3,1,4
ALCALA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,1,1,1,2
ANCORAIMES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,10,7,10,7,17
ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,3,0,3,3
ANTEQUERA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,0,3,0,3
ANZALDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,7,9,7,9,16
APOLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,18,7,18,7,25
ARAMPAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,9,1,9,10
ARANI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,18,6,18,6,24
ARBIETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,6,6,6,6,12
ARQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,18,6,18,6,24
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,48,15,48,15,63
ATOCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,9,6,9,6,15
AUCAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,9,9,9,9,18
AYATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,6,5,6,5,11
AYO AYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,12,4,12,4,16
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,25,10,25,10,35
AZURDUY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,7,2,7,2,9
BATALLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,28,1,28,1,29
BAURES,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,0,4,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,2,1,2,3
BERMEJO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,44,18,44,18,62
BETANZOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,35,26,35,26,61
BOLIVAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,16,4,16,4,20
BOLPEBRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,3,0,3,3
BOYUIBE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,1,4,1,5
BUENA VISTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,11,7,11,7,18
CABEZAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,26,7,26,7,33
CAIROMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,6,11,6,11,17
"CAIZA ""D""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,12,4,12,16
CAJUATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,13,0,13,0,13
CALACOTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,4,4,4,8
CALAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,5,12,5,12,17
CAMARGO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,20,3,20,3,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,3,4,3,7
CAMIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,49,4,49,4,53
CAPINOTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,35,9,35,9,44
CAQUIAVIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,2,13,2,13,15
CARACOLLO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,24,7,24,7,31
CARANAVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,85,41,85,41,126
CARAPARI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,15,8,15,8,23
CARIPUYO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,21,3,21,24
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,7,4,7,4,11
CATACORA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,1,0,1,1
CHACARILLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,3,0,3,3
CHALLAPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,49,18,49,18,67
CHAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,7,0,7,0,7
CHARAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,16,19,16,19,35
CHARAÑA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,2,2,2,2,4
CHAYANTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,9,15,9,15,24
CHIMORE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,33,2,33,2,35
CHIPAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,0,1,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,16,12,16,12,28
CHUMA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,7,5,7,5,12
CLIZA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,33,10,33,10,43
COBIJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,100,4,100,4,104
COCHABAMBA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1351,24,1351,24,1375
COIPASA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,1,1,1,2
COLCAPIRHUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,100,1,100,1,101
"COLCHA ""K""",vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,19,2,19,2,21
COLLANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,0,1,0,1
COLOMI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,37,2,37,2,39
COLPA BELGICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,10,5,10,5,15
COLQUECHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,15,45,15,45,60
COLQUENCHA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,8,1,8,1,9
COLQUIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,14,16,14,16,30
COMANCHE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,2,0,2,2
COMARAPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,33,1,33,1,34
COMBAYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,3,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,23,0,23,0,23
COPACABANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,15,7,15,7,22
CORIPATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,20,5,20,5,25
CORO CORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,8,1,8,9
COROICO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,12,7,12,7,19
CORQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,3,3,3,6
COTAGAITA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,9,27,9,27,36
COTOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,84,9,84,9,93
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,20,2,20,2,22
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,2,8,2,8,10
CULPINA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,17,16,17,16,33
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,7,3,7,3,10
CURVA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,10,5,10,5,15
DESAGUADERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,5,9,5,9,14
EL ALTO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1446,286,1446,286,1732
EL CHORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,2,3,2,3,5
EL PUENTE(STC),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,12,3,12,3,15
EL PUENTE(TJA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,16,10,16,10,26
EL TORNO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,74,3,74,3,77
EL VILLAR,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,4,4,4,8
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,41,6,41,6,47
ENTRE RIOS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,18,5,18,5,23
EUCALIPTUS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,6,1,6,1,7
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,1,1,1,2
EXALTACION,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,0,4,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,27,0,27,0,27
FILADELFIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,5,3,5,8
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,26,4,26,4,30
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,7,3,7,10
GUANAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,12,5,12,5,17
GUAQUI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,5,4,5,9
GUAYARAMERIN,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,87,4,87,4,91
GUTIERREZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,9,16,9,16,25
HUACARETA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,14,8,14,8,22
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,2,5,2,5,7
HUACHACALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,46,6,46,6,52
HUARACAJE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,10,0,10,0,10
HUAYLLAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,5,4,5,9
ICHOCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,4,4,4,8
ICLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,6,3,6,9
INCAHUASI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,24,20,24,20,44
INQUISIVI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,2,12,2,12,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,18,4,18,22
IXIAMAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,5,2,5,2,7
JESUS DE MACHACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,18,1,18,1,19
LA ASUNTA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,51,5,51,5,56
LA GUARDIA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,93,2,93,2,95
LA PAZ,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1212,8,1212,8,1220
LAGUNILLAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,6,0,6,0,6
LAJA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,12,12,12,12,24
LAS CARRERAS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,4,0,4,0,4
LICOMA PAMPA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,1,1,1,2
LLALLAGUA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,70,23,70,23,93
LLICA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,3,3,3,6
LORETO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,1,3,1,3,4
LURIBAY,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,7,2,7,2,9
MACHACAMARCA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,8,1,8,1,9
MACHARETI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,7,1,7,1,8
MAGDALENA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,15,7,15,7,22
MAIRANA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,19,0,19,0,19
MALLA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,1,0,1,1
MAPIRI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,17,6,17,6,23
MECAPACA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,8,10,8,10,18
MINEROS,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,37,7,37,7,44
MIZQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,28,5,28,5,33
MOCOMOCO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,9,7,9,7,16
MOJOCOYA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,2,0,2,0,2
MONTEAGUDO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,38,9,38,9,47
MONTERO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,182,7,182,7,189
MORO MORO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,3,1,3,1,4
MOROCHATA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,24,38,24,38,62
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,0,2,0,2,2
OCURI,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,6,24,6,24,30
OKINAWA,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,15,1,15,1,16
OMEREQUE,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,6,3,6,3,9
ORURO,vacunaciones en menores de 1 ano,o.p.v. 1ra dosis,2009-12-01,596,14,596,14,610
