,group,variable,month,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,(O.P.V.) ANTIPOLIOMIELÍTICA 2DA DOSIS,TOTALES,TOTALES,TOTALES
QUIME,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,4,4,4,4,8
RAVELO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,12,34,12,34,46
REYES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,19,2,19,2,21
RIBERALTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,158,34,158,34,192
ROBORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,27,0,27,0,27
RURRENABAQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,39,9,39,9,48
SABAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,6,1,6,1,7
SACABA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,191,58,191,58,249
SACABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,4,4,4,4,8
SACACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,35,22,35,22,57
SAIPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,9,8,9,8,17
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,9,6,9,6,15
SAMAIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,8,3,8,3,11
SAN ANDRES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,19,22,19,22,41
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,2,5,2,5,7
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,7,6,7,6,13
SAN BENITO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,14,5,14,5,19
SAN BORJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,66,23,66,23,89
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,14,3,14,3,17
SAN CARLOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,26,12,26,12,38
SAN IGNACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,39,2,39,2,41
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,87,23,87,23,110
SAN JAVIER(STC),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,28,1,28,1,29
SAN JOAQUIN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,29,20,29,20,49
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,13,0,13,0,13
SAN JULIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,49,25,49,25,74
SAN LORENZO(PND),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,4,14,4,14,18
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,28,13,28,13,41
SAN LUCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,30,46,30,46,76
SAN MATIAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,26,8,26,8,34
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,19,8,19,8,27
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,6,2,6,2,8
SAN PEDRO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,19,1,19,1,20
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,35,73,35,73,108
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,0,2,0,2,2
SAN RAFAEL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,10,9,10,9,19
SAN RAMON SCZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,16,0,16,0,16
SANTA ANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,16,0,16,0,16
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,2453,139,2453,139,2592
SANTA ROSA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,14,10,14,10,24
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,23,13,23,13,36
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,2,4,2,4,6
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,3,7,3,7,10
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,3,12,3,12,15
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,3,6,3,6,9
SANTIVAÑES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,7,1,7,1,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,5,2,5,2,7
SAPAHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,7,9,7,9,16
SENA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,8,10,8,10,18
SHINAOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,38,3,38,3,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,16,24,16,24,40
SICAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,0,2,0,2,2
SIPE SIPE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,73,12,73,12,85
SOPACHUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,6,4,6,4,10
SORACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,14,10,14,10,24
SORATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,19,25,19,25,44
SUCRE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,537,31,537,31,568
TACACOMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,8,2,8,2,10
TACOBAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,11,6,11,6,17
TACOPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,6,9,6,9,15
TAPACARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,26,26,26,26,52
TARABUCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,20,16,20,16,36
TARACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,5,6,5,6,11
TARATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,11,3,11,3,14
TARIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,312,8,312,8,320
TARVITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,12,16,12,16,28
TEOPONTE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,5,3,5,3,8
TIAWANACU,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,6,10,6,10,16
TINGUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,27,31,27,31,58
TIPUANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,7,1,7,1,8
TIQUIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,86,7,86,7,93
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,32,19,32,19,51
TOCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,4,1,4,1,5
TODOS SANTOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,1,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,7,0,7,0,7
TOLEDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,2,3,2,3,5
TOMAVE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,8,6,8,6,14
TOMINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,1,8,1,8,9
TORO TORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,7,21,7,21,28
TOTORA(CBBA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,20,13,20,13,33
TOTORA(ORR),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,2,4,2,4,6
TRIGAL,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,3,0,3,0,3
TRINIDAD,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,231,30,231,30,261
TUPIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,70,19,70,19,89
TURCO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,3,0,3,0,3
UMALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,1,15,1,15,16
UNCIA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,36,10,36,10,46
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,18,4,18,4,22
URUBICHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,0,24,0,24,24
UYUNI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,40,4,40,4,44
VACAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,6,12,6,12,18
VALLEGRANDE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,25,2,25,2,27
VIACHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,104,4,104,4,108
VILA VILA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,4,5,4,5,9
VILLA CHARCAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,16,11,16,11,27
VILLA MONTES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,72,12,72,12,84
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,7,0,7,0,7
VILLA SERRANO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,12,11,12,11,23
VILLA TUNARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,137,20,137,20,157
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,9,4,9,4,13
VILLAZON,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,63,15,63,15,78
VINTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,50,6,50,6,56
VITICHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,7,7,7,7,14
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,4,0,4,0,4
WARNES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,137,13,137,13,150
YACO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,2,9,2,9,11
YACUIBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,157,16,157,16,173
YAMPARAEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,8,2,8,2,10
YANACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,4,1,4,1,5
YAPACANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,105,13,105,13,118
YOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,5,6,5,6,11
YOTALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,8,4,8,4,12
YUNCHARA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,1,10,1,10,11
ZUDAÑEZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-11-01,3,4,3,4,7
ACACIO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,4,8,4,8,12
ACHACACHI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,43,22,43,22,65
ACHOCALLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,9,0,9,0,9
AIQUILE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,24,8,24,8,32
ALALAY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,2,1,2,1,3
ALCALA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,4,1,4,1,5
ALTO BENI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,17,5,17,5,22
ANCORAIMES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,12,3,12,3,15
ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,7,4,7,4,11
ANTEQUERA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,4,2,4,2,6
ANZALDO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,2,7,2,7,9
APOLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,23,11,23,11,34
ARAMPAMPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,6,9,6,9,15
ARANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,20,9,20,9,29
ARBIETO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,6,18,6,18,24
ARQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,20,5,20,5,25
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,65,0,65,0,65
ATOCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,18,7,18,7,25
AUCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,4,4,4,4,8
AYATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,8,5,8,5,13
AYO AYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,13,4,13,4,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,16,11,16,11,27
AZURDUY,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,10,10,10,10,20
BATALLAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,28,2,28,2,30
BAURES,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,4,2,4,2,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,2,1,2,1,3
BELLA FLOR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,2,0,2,0,2
BERMEJO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,30,19,30,19,49
BETANZOS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,28,18,28,18,46
BOLIVAR,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,2,4,2,4,6
BOLPEBRA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,0,3,0,3,3
BOYUIBE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,3,1,3,1,4
BUENA VISTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,7,7,7,7,14
CABEZAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,24,10,24,10,34
CAIROMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,10,19,10,19,29
"CAIZA ""D""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,10,5,10,5,15
CAJUATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,10,1,10,1,11
CALACOTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,2,2,2,2,4
CALAMARCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,9,11,9,11,20
CAMARGO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,27,7,27,7,34
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,3,2,3,2,5
CAMIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,51,4,51,4,55
CAPINOTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,36,7,36,7,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,1,9,1,9,10
CARACOLLO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,25,14,25,14,39
CARANAVI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,59,21,59,21,80
CARAPARI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,13,7,13,7,20
CARIPUYO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,2,34,2,34,36
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,5,6,5,6,11
CHACARILLA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,3,1,3,1,4
CHALLAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,56,10,56,10,66
CHAQUI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,5,4,5,4,9
CHARAGUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,24,9,24,9,33
CHARAÑA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,0,1,0,1,1
CHAYANTA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,9,28,9,28,37
CHIMORE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,22,6,22,6,28
CHIPAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,5,0,5,0,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,18,10,18,10,28
CHUMA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,9,2,9,2,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,6,17,6,17,23
CKOCHAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,15,9,15,9,24
CLIZA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,22,4,22,4,26
COBIJA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,93,4,93,4,97
COCAPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,15,30,15,30,45
COCHABAMBA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,1149,2,1149,2,1151
COIPASA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,86,6,86,6,92
"COLCHA ""K""",vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,14,4,14,4,18
COLLANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,7,1,7,1,8
COLOMI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,33,3,33,3,36
COLPA BELGICA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,8,5,8,5,13
COLQUECHACA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,16,72,16,72,88
COLQUENCHA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,11,0,11,0,11
COLQUIRI,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,12,14,12,14,26
COMANCHE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,6,0,6,0,6
COMARAPA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,29,14,29,14,43
COMBAYA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,0,3,0,3,3
CONCEPCION,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,18,7,18,7,25
COPACABANA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,12,8,12,8,20
CORIPATA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,24,4,24,4,28
CORO CORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,3,5,3,5,8
COROICO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,15,0,15,0,15
CORQUE,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,7,5,7,5,12
COTAGAITA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,15,19,15,19,34
COTOCA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,121,11,121,11,132
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,25,22,25,22,47
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,1,0,1,0,1
CUEVO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,2,0,2,0,2
CULPINA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,29,8,29,8,37
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,9,2,9,2,11
CURVA,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,3,9,3,9,12
DESAGUADERO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,7,4,7,4,11
EL ALTO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,1226,152,1226,152,1378
EL CHORO,vacunaciones en menores de 1 ano,(o.p.v.) antipoliomielitica 2da dosis,2010-12-01,6,3,6,3,9
